,linkshere
0,Metallica
1,Megadeth
2,Raven Software
3,Space Quest
4,2000s
5,Activision
6,Queen (band)
7,Sierra Entertainment
8,Game controller
9,Aerosmith
10,Queens of the Stone Age
11,Iron Maiden
12,Nickelback
13,Danzig (album)
14,Judas Priest
15,User:Wintran
16,GH
17,Air guitar
18,American Idol
19,Metal umlaut
20,List of Chinese Americans
21,CH
22,King's Quest
23,Liam Lynch (musician)
24,Video game remake
25,MIT Media Lab
26,Rick Rubin
27,Jack White
28,Nintendo DS
29,Pitfall!
30,Wikipedia:WikiProject Video games
31,Franz Ferdinand (band)
32,Frankenstein (instrumental)
33,Music video game
34,Paramount Media Networks
35,Walk This Way
36,Freezepop
37,Frequency (video game)
38,Amplitude (2003 video game)
39,Karaoke Revolution
40,Harmonix
41,List of video game franchises
42,Mad Fold-in
43,List of video game developers
44,The Donnas
45,Gray Matter Studios
46,Infinity Ward
47,Luxoflux
48,Neversoft
49,Shaba Games
50,Treyarch
51,Underground Development
52,List of open-source video games
53,Max Levchin
54,2005 in video games
55,GuitarFreaks and DrumMania
56,Dark Reign: The Future of War
57,Talk:Klax (video game)
58,Rhythm game
59,Eddie Kramer
60,Massive Entertainment
61,Spyro
62,MTV Drumscape
63,Guitar Center
64,Donkey Kong Jungle Beat
65,Talk:Free Bird
66,List of television series based on video games
67,EyeToy: AntiGrav
68,Talk:Air guitar
69,Lance Archer
70,User:Yosofun
71,Classic hits
72,Synthesia
73,Portal:Video games
74,Portal:Video games/Picture
75,Bizarre Creations
76,Talk:Tony Hawk's Underground 2
77,James Tour
78,The Duke Spirit
79,User:Nick R/Videogames
80,Swordfish Studios
81,User:Dj HaQ
82,RedOctane
83,Video game clone
84,Stone Cold Crazy
85,David Crowder Band
86,List of Xbox network games
87,Atlantis (video game)
88,User talk:WormNut
89,List of video game genres
90,User:Severence
91,Toys for Bob
92,List of video games notable for negative reception
93,Guitar Hero (video game)
94,Gibson Moderne
95,Radical Entertainment
96,Geometry Wars: Retro Evolved
97,Video Games Live
98,Raw Thrills
99,User talk:71.11.238.98
100,Higher Ground (Stevie Wonder song)
101,3-D Ultra Pinball
102,List of crossovers in video games
103,Major League Gaming
104,Vicarious Visions
105,Freezepop Forever
106,Anarchy Club
107,Vitamin String Quartet
108,Tectoy
109,List of Pure Pwnage episodes
110,Guitar hero
111,User talk:207.160.228.250
112,Chris Prynoski
113,Vitamin Records
114,Kelly Sumner
115,Video game culture
116,Talk:Tony Hawk's Pro Skater 2
117,Metalocalypse
118,Crash Bandicoot
119,Talk:Ultima Underworld: The Stygian Abyss
120,List of video game publishers
121,Dave Sardy
122,Umlaut
123,Guitar Hero II
124,User:Fatimus Prime
125,User:Sausabe
126,UltraStar
127,User:Triple-Quadruple
128,Jada Toys
129,Abbath
130,Dan Rosensweig
131,Robotkid
132,The Mad Stuntman
133,Wii Music
134,User talk:209.56.230.2
135,User:Jjam189
136,"User talk:Can't sleep, clown will eat me/5"
137,Taiko no Tatsujin
138,Open-source video game
139,User:Graveenib
140,List of Xbox 360 accessories
141,User:Omizzle77/2000
142,Parry Gripp
143,User talk:74.137.238.77
144,Frets on Fire
145,Ubisoft Leamington
146,Vivendi Games
147,Guitar synthesizer
148,User talk:JoeBoxer522
149,PlayStation 3 accessories
150,Tony Hawk's (series)
151,User:Keithustus
152,List of Asian Americans
153,User talk:Rodparkes
154,List of Mega64 episodes
155,Lars
156,User:Bob rulz/quotes
157,User:Rafael Gangi
158,Kelly Moneymaker
159,User talk:Leuko/Archive 2
160,List of Nintendo DS accessories
161,User:Rotek
162,Mini Gibson SG
163,Mini Gibson SG Guitar Controller
164,Gibson SG Guitar Controller
165,Guitar controller
166,List of My Name Is Earl characters
167,Psychostick
168,User:Leuko/VandalismLog
169,User talk:205.251.9.153
170,User:Kimmy78
171,User:Zeldafreak104
172,User:Zeldafreak104/userboxes
173,Husbands and Knives
174,User talk:72.135.252.109
175,User:Malerin/VandalismLog
176,Clive Winston
177,Air Guitar (song)
178,Call of Duty
179,User talk:207.233.32.17
180,User:SimonZerafa/Hak5
181,Kid Beyond
182,List of Karaoke Revolution songs
183,Talk:List of Karaoke Revolution songs
184,Assault Heroes
185,User:Bobthehun2
186,User:Trogdor666
187,User talk:71.205.8.231
188,Wikipedia:Articles for deletion/Log/2006 December 26
189,Wikipedia:Articles for deletion/Guitar Hero III
190,Guitar Hero PS3
191,Talk:Guitar Hero II/Archive 1
192,Wikipedia:WikiProject Video games/Good content
193,Gibson Corvus
194,2008 in music
195,User:Masem
196,Wikipedia:Articles for deletion/Log/2007 January 13
197,Wikipedia:Articles for deletion/Decontrol (song)
198,Wikipedia:Articles for deletion/Drist
199,Guitar Hero Encore: Rocks the 80s
200,User talk:Bobby Duwitz
201,"Eat Me, Drink Me"
202,User:Lightdarkness/FFR
203,Variations (Andrew Lloyd Webber album)
204,Behaviour Santiago
205,3D Ultra Minigolf (game series)
206,User talk:207.75.53.6
207,User talk:72.23.74.133
208,User talk:206.176.126.227
209,2000s in video games
210,Guitar Hero series
211,Wikipedia:Articles for deletion/Kid Beyond (2nd nomination)
212,User:Discgolfrules
213,Wikipedia:Articles for deletion/Log/2007 February 19
214,High Moon Studios
215,User talk:Lioydliles
216,User talk:84.68.184.18
217,Talk:Tony Hawk's (series)
218,Budcat Creations
219,Axel Steel
220,User talk:Minkmoo666
221,Talk:Guitar Hero
222,List of Massachusetts Institute of Technology alumni
223,User talk:Ddude333
224,Marti Frederiksen
225,User:Dragon909
226,Rock Band (video game)
227,Template:Guitar Hero series
228,Wikipedia talk:WikiProject Video games/Archive 25
229,Tony Hawk's Pro Skater 5
230,Educational video game
231,User talk:Tammyhir
232,User talk:Buckeye2423
233,Xkcd
234,User talk:74.122.25.143
235,Beenox
236,Adam Ross (CSI: NY)
237,List of best-selling video game franchises
238,List of Sierra Entertainment video games
239,E=MC² (Mariah Carey album)
240,God of War III
241,The Simpsons Game
242,User talk:Kristensylvester
243,Wikipedia:WikiProject Video games/Reference library/Game Informer
244,User talk:71.211.182.26
245,User talk:Pix3
246,University of Pittsburgh Varsity Marching Band
247,28 Days Later: The Soundtrack Album
248,User talk:Davidv2009
249,Guitar Villain
250,"Wikipedia:WikiProject Spam/COIReports/2007, Jun 7"
251,"Wikipedia:WikiProject Spam/COIReports/2007, Jun 8"
252,User talk:Jpfuktard
253,User talk:71.232.139.102
254,User talk:Cubs4evrsoxnvr25
255,Lead Sails Paper Anchor
256,Talk:Guitar Hero II/Archive 2
257,User talk:72.225.19.188
258,User talk:209.33.117.27
259,User talk:Blackcherrycola
260,User:Moviemaniacx
261,User talk:74.13.106.237
262,Guitar Hero III: Legends of Rock
263,Template:Harmonix games
264,User talk:82.20.5.174
265,User:Tigerghost/Sandbox
266,User:Eastside jr
267,List of songs in Guitar Hero II
268,Category:Guitar Hero
269,User:Martarius
270,User talk:75.117.221.76
271,User talk:74.226.8.81
272,Alex Rigopulos
273,List of songs in Guitar Hero III: Legends of Rock
274,D-Con
275,Wikipedia talk:WikiProject Video games/Archive 29
276,User talk:72.213.168.77
277,User talk:Othx
278,List of Activision video games
