,linkshere
0,Nights into Dreams
1,Dreamcast
2,2000s
3,Pachinko
4,Space Channel 5
5,Jurassic 5
6,List of Dreamcast games
7,Pirate radio
8,Zaxxon
9,Roller skating
10,Columns (video game)
11,Sakura Wars
12,Phantasy Star Online
13,Game Critics Awards
14,Virtua Cop
15,History of animation
16,List of company name etymologies
17,Yuji Naka
18,Virtua Tennis (video game)
19,Thunder Force (video game)
20,Atlus
21,Out Run
22,Wikipedia:WikiProject Video games
23,Megami Tensei
24,Football Manager
25,Skies of Arcadia
26,After Burner
27,Wikipedia talk:WikiProject Video games/Archive 13
28,Sixth generation of video game consoles
29,VMU
30,Total War (video game series)
31,JSR
32,Space Harrier
33,Tab
34,List of video game musicians
35,List of platform game series
36,Shining (video game series)
37,List of video game developers
38,Sega Rally Championship
39,List of cel-shaded video games
40,Cel shading
41,Daytona USA
42,Herzog (video game)
43,Sega Sammy Holdings
44,13 Ways to Bleed on Stage
45,Jet Set Radio Future
46,Combo
47,Fight Club
48,Fantasy Zone
49,Guitar Vader
50,Jet Grind Radio
51,Seaman (video game)
52,Sonic Rush
53,Gunstar Heroes
54,2000 in video games
55,Non-photorealistic rendering
56,Hang-On
57,Sonic Shuffle
58,Wikipedia:Featured article candidates/Archived nominations/December 2004
59,Sega Rally
60,Talk:Lumines: Puzzle Fusion
61,Portal:Video games
62,Panzer Dragoon Orta
63,Crazy Taxi
64,Virtua Striker
65,Sega Ages
66,Growlanser
67,Sonic Gems Collection
68,Richard Jacques
69,Mix Master Mike
70,Bonanza Bros.
71,Full Auto
72,Virtual On
73,Dreamcast online functionality
74,Power Instinct
75,Condemned: Criminal Origins
76,Phantasy Star
77,Company of Heroes (video game)
78,Hideki Naganuma
79,Mushiking: The King of Beetles
80,Sonic the Hedgehog
81,Shinobi (series)
82,Majin Tensei
83,Too Funky
84,Marc Ecko's Getting Up: Contents Under Pressure
85,Roger L. Jackson
86,Panzer Dragoon Saga
87,List of crossovers in video games
88,Dinosaur King
89,Yakuza (video game)
90,Talk:Jet Set Radio
91,Derby Owners Club
92,Sega GT
93,Virtua Fighter
94,Japanification
95,Thunder Force
96,World Club Champion Football
97,User:Hitmaker
98,Eric Haze
99,User talk:Kitty-Kat
100,The House of the Dead
101,Panzer Dragoon II Zwei
102,Wonder Boy
103,Love and Berry: Dress Up and Dance!
104,Trauma Center (video game series)
105,Talk:List of video games notable for speedrunning
106,DJ Proffesor K
107,Streets of Rage
108,Captain Onishima
109,The Rumble Fish
110,User:Lkjhgfdsa/Wikipedian Gamebox
111,Jet Set Satellite
112,Dragula (song)
113,Rolling (video game)
114,Sangokushi Taisen
115,Top Skater
116,Kwirk
117,Super Monkey Ball
118,Wikipedia talk:WikiProject Japan/Archive/November 2006
119,User:Remurmur/videogames
120,Megami Tensei Gaiden: Last Bible
121,Wikipedia:WikiProject Video games/Good content
122,Professional Murder Music
123,2000s in video games
124,Wikipedia:Featured article candidates/Graffiti/archive3
125,Ecco the Dolphin
126,Golden Axe
127,Rob Zombie discography
128,GioGio's Bizarre Adventure
129,Wikipedia:WikiProject Video games/Reference library/Edge
130,Wikipedia:WikiProject Video games/Reference library/GameFan
131,Wikipedia:WikiProject Video games/Reference library/Next Generation Magazine
132,Wikipedia:WikiProject Video games/Reference library/Official Dreamcast Magazine (US)
133,User:Nixeagle/iffyspoilers
134,Wikipedia talk:WikiProject Chemistry/Archive 12
135,Shin Megami Tensei: Devil Children
136,Panzer Dragoon
137,Space Channel 5: Part 2
138,User talk:Dreaded Walrus/Archives/August 2007
139,List of Sega video game franchises
140,User:Inuboy1000
141,Sega Superstars Tennis
142,Hyper Duel
143,Wikipedia:Articles for creation/2007-11-01
144,Talk:The Legend of Zelda: Phantom Hourglass/Archive 1
145,Talk:Graffiti/Archive 1
