,linkshere
0,A. A. Milne
1,Bubble Bobble
2,Chris Sarandon
3,Chrono Cross
4,Daisy Duck
5,E. H. Shepard
6,Final Fantasy
7,Final Fantasy: The Spirits Within
8,"Huey, Dewey, and Louie"
9,Monkey Island
10,The Muppets
11,Mickey Mouse
12,Marvel Universe
13,List of fictional robots and androids
14,Star Wars
15,Square (video game company)
16,Tomb Raider
17,Taito
18,Xenogears
19,Brothers Grimm
20,Final Fantasy Tactics
21,Final Fantasy II
22,Final Fantasy IV
23,Final Fantasy VI
24,Final Fantasy VII
25,Final Fantasy VIII
26,Final Fantasy IX
27,Final Fantasy X
28,Final Fantasy Chronicles
29,Final Fantasy Mystic Quest
30,The Final Fantasy Legend
31,Final Fantasy Adventure
32,Final Fantasy V
33,Ub Iwerks
34,Mulan (Disney character)
35,Mulan (1998 film)
36,Pomp and Circumstance Marches
37,Song of the South
38,Dan Castellaneta
39,Tigger
40,Final Fantasy III
41,Oswald the Lucky Rabbit
42,Pete (Disney)
43,Goofy
44,Aladdin (1992 Disney film)
45,Fantasia (1940 film)
46,Captain Hook
47,Alice Comedies
48,Who Framed Roger Rabbit
49,Donald Duck universe
50,Snow White and the Seven Dwarfs (1937 film)
51,Saludos Amigos
52,The Three Caballeros
53,Minnie Mouse
54,Mickey Mouse universe
55,Mary Poppins (film)
56,Pixar
57,Lucasfilm
58,Philoctetes
59,Charles Perrault
60,Christopher Robin
61,Eeyore
62,Heffalump
63,Piglet (Winnie-the-Pooh)
64,Rabbit (Winnie-the-Pooh)
65,Roo
66,The Lion King
67,The Tigger Movie
68,Voice acting
69,Super Mario 64
70,Silly Symphony
71,Beauty and the Beast (1991 film)
72,J. M. Barrie
73,Chicago Symphony Orchestra
74,Rhapsody in Blue
75,Ashdown Forest
76,Philadelphia Orchestra
77,The Rite of Spring
78,Neverland
79,Leopold Stokowski
80,Lilo & Stitch
81,Roy E. Disney
82,Hercules (1997 film)
83,Aladdin
84,James Woods
85,20th Century Studios
86,Chocobo
87,Dumbo
88,Edwin Catmull
