,linkshere
0,Game Boy Advance
1,Handheld game console
2,Nintendo
3,The Sims (video game)
4,2000s
5,Tractor beam
6,Talk:First-person shooter
7,GameCube
8,Shigeru Miyamoto
9,Super Mario Sunshine
10,Speculative fiction
11,Metroid
12,Neverwinter Nights (2002 video game)
13,Hirokazu Tanaka
14,Gunpei Yokoi
15,User:Andrevan
16,User:Xiaodai~enwiki
17,British Academy Games Awards
18,Game Developers Choice Awards
19,Metroid II: Return of Samus
20,Super Metroid
21,Metroid Fusion
22,2002 in video games
23,Xplay
24,Grand Theft Auto III
25,Talk:Sequel
26,Wikipedia:WikiProject Video games
27,Metroid Prime 2: Echoes
28,List of GameCube games
29,Sixth generation of video game consoles
30,Speedrunning
31,Animal Crossing (video game)
32,Star Wars: Knights of the Old Republic (video game)
33,Half-Life 2
34,Nintendo Selects
35,List of fictional diseases
36,Metroid: Zero Mission
37,List of video game musicians
38,List of years in games
39,Ridley (Metroid)
40,Pokémon Snap
41,Jennifer Hale
42,Satoru Iwata
43,User talk:Sparky the Seventh Chaos/Archive 1
44,User:T ConX
45,List of Classic NES Series games
46,Nintendo Power
47,Steve Barcia
48,Metroid Prime Hunters
49,Talk:First-person adventure/Archive 1
50,Tallon IV
51,Tallon 4
52,Retro Studios
53,Sequence breaking
54,Nintendo Space World
55,Magmoor
56,GameCube – Game Boy Advance link cable
57,Talk:Metroid Prime
58,Wikipedia:WikiProject Video games/Featured content
59,Talk:BloodRayne (video game)
60,File:M screen017.jpg
61,Super Monkey Ball 2
62,File:Metroidprime10101.jpg
63,Speed Demos Archive
64,Super Mario 128
65,User:Gunslinger47
66,Talk:SA-X
67,Zone of the Enders: The 2nd Runner
68,List of Nintendo products
69,WaveBird Wireless Controller
70,Glitching
71,Space pirate
72,User:Vishakha
73,File:MetroidPrimebox.jpg
74,Super Smash Bros.
75,Thardus
76,Kevin Keene
77,Portal:Video games
78,HUD (video gaming)
79,NGC Magazine
80,Nintendo tumbler puzzle
81,Sheegoth
82,NFL 2K1
83,Shadow of the Colossus
84,Talk:Devil May Cry 3: Dante's Awakening
85,List of Game of the Year awards
86,User:Igordebraga
87,Gears of War (video game)
88,User talk:Igordebraga
89,Metroid Prime Pinball
90,List of Wii games
91,Metroid Prime 3: Corruption
92,Template:Metroid
93,Silverball Studios
94,Wikipedia:Articles for deletion/Log/2005 June 22
95,Phendrana Drifts
96,Wikipedia:Articles for deletion/Phendrana Drifts
97,Tallon Overworld
98,Talk:System Shock
99,Talk:Metroid: Zero Mission
100,User:Lawman~enwiki
101,Talk:Jennifer Hale
102,Metroid Dread
103,User:Renegadeviking
104,User:Thunderbrand/Archive01
105,User:Aeryka
106,Template talk:Metroid
107,Maverick Hunter
108,User:UnlimitedAccess/Games
109,Metroid 64
110,Wikipedia:List of Wikipedians by featured article nominations
111,Talk:List of video game musicians
112,User:Crumbworks
113,User:H Hog
114,Yoshio Sakamoto
115,Talk:Fetch quest
116,Galactic Pinball
117,GamesTM
118,Darkwatch
119,Portal talk:Speculative fiction
120,Wikipedia:WikiProject Video games/Essential articles
121,User:LEC20
122,Nintendo Player's Guide
123,Talk:Wii/Archive 2
124,User:Phazon Cannon
125,Dolphin (emulator)
126,User:Adv193
127,List of crossovers in video games
128,Talk:Day of Defeat: Source
129,User:DJRaveN4x
130,User:Phalanxia
131,User talk:Acebrock
132,User:SuggestBot/Suggestions for AII in
133,User:Radaar
134,List of game engine recreations
135,User:Mengsk
136,User:Judgesurreal777/Barnstars
137,User:Bahamut-
138,User:Mikelikerice
139,Fallout 3
140,Index of Japan-related articles (M)
141,Jeff Spangenberg
142,Wikipedia:Articles for creation/2006-04-06
143,Wikipedia:WikiProject Video games/Nintendo
144,Wikipedia:WikiProject Video games/Nintendo/Essential articles
145,File:Morphball.jpg
146,User:REexpert44
147,User talk:Lepeu1999
148,User:Zeno McDohl/games
149,User:Mellesime
150,User:Quadrius
151,User:Icecreambeam
152,User:Red Alien/Userboxes
153,User:Death motor
154,User:GooTuM
155,User:Erik the Appreciator/Erik's Rationale
156,Talk:The Legend of Zelda: Twilight Princess/Archive 1
157,User:Imhungry
158,7th Golden Satellite Awards
159,User:ADeveria/My games
160,User:Phil1988/Video Games Owned
161,User:Scepia/Metroid Prime
162,List of video games notable for speedrunning
163,User:JHFTC
164,User:DarkHero
165,User talk:Ryūkotsusei/Archive 2
166,User:A.M.962
167,User:RickO5
168,User:Mit kebes
169,Mega Man X
170,User:Aronjjxi
171,Wikipedia talk:WikiProject Video games/Archive 11
172,Wikipedia:Featured articles
173,Talk:Amon Tobin
174,Wikipedia:Featured articles/sandbox
175,Portal (video game)
176,User:Tigerghost/Favorites
177,User:Konman72/Userboxes
178,User:Sraan
179,User:GrimRepr39/videogames
180,User:Unknown Dragon
181,User:AquinasProtocol
182,Wikipedia:New contributors' help page/Archive/Jul 2006
183,User:Dineredhel Carantaraglar
184,User:Bobby D. DS.
185,User:Tirkaro
186,Metriod prime
187,User:NateDan/Userboxes
188,User:FE411/Video Games
189,User:SOLVE INFERNIS
190,User:ShogoFan3000
191,User:Masterhand10
192,The Mark of Kri
193,User:Otherone/Computer and video game stereotypes
194,User:Spaction3
195,Unlockable game
196,Portal:Video games/Featured article
197,User:Kribbeh
198,User:Ethan94
199,User:DisturbedMXer8
200,User:Nathan192001
201,User talk:Ryūkotsusei/Archive 1
202,Talk:Samus Aran/Archive 1
203,User:ShadowUltra/Sandbox
204,User:BeefJeaunt
205,User:BeefJeaunt/M Prime User
206,User:Christknight
207,Wikipedia:Articles for deletion/Log/2006 October 27
208,Wikipedia:Articles for deletion/Metroid Prime 2D
209,User:SonoftheMorning
210,User:Theafroguy
211,User:Farfort
212,User:Blagden
213,User:Mit kebes/Metroid Template
214,User:Snograt
215,User:Deku-Scrub
216,User:SBKT
217,User:Soniczip
218,User talk:SixteenBitJorge
219,User:Darkrangerj
220,User:KKK h8er
221,User talk:72.196.29.151
222,User:Merond e/Userboxes
223,User:WiiVolve
224,User:Vulian
225,User:Remurmur/videogames
226,User:Hunt 4 Orange November
227,User:Kung Foo
228,User:Lolfish11oneone
229,User:BeefJeaunt/Custom Userboxes
230,User:Ryonslaught
231,User:Magnusmaster
232,User:Mustafa 69
233,User:Froglet42
234,User:Allahweh1453/My Games
235,Wikipedia talk:Userboxes/Ideas/Archive 3
236,User:Avatar of Nothing
237,User:Ben Goes To Walmart
238,User:Scottie Too Hottie7/Userboxes
239,Talk:Speedrunning/rewrite
240,User:Squall1991
241,User talk:Ashnard
242,Wikipedia:Former featured and good topics
243,User:Dmunkey
244,User:Acglaphotis
245,User talk:Riccialesd
246,User:Frostyfrog/userboxes
247,Wikipedia:WikiProject Spam/LinkSearch/metacritic.com
248,User:Frostyfrog
249,User talk:Shnizzler
250,User:Puddleglum Marshwiggle
251,Wikipedia:WikiProject Spam/LinkSearch/Metacritic.com
252,Wikipedia:WikiProject Spam/LinkSearch/Mobygames.com
