,linkshere
0,Mars Attacks
1,Nintendo
2,Spawn (character)
3,The Legend of Zelda
4,Universe of The Legend of Zelda
5,GameCube
6,Darth Vader
7,Yoda
8,Shigeru Miyamoto
9,Todd McFarlane
10,The Legend of Zelda: Ocarina of Time
11,The Legend of Zelda (video game)
12,The Legend of Zelda: A Link to the Past
13,The Legend of Zelda: Majora's Mask
14,Soulcalibur (video game)
15,Soul Edge
16,The Legend of Zelda: The Wind Waker
17,Koji Kondo
18,Tekken
19,Image Comics
20,Cloud Strife
21,British Academy Games Awards
22,Witchblade
23,Game Critics Awards
24,The Legend of Zelda: Oracle of Seasons and Oracle of Ages
25,KOS-MOS
26,Zelda II: The Adventure of Link
27,The Legend of Zelda: Link's Awakening
28,Triforce
29,Princess Zelda
30,List of GameCube games
31,Link (The Legend of Zelda)
32,Michiko Neya
33,2003 in video games
34,Ganon
35,Nintendo Selects
36,Houko Kuwashima
37,Assassin (disambiguation)
38,Marc Silvestri
39,List of fighting games
40,The Legend of Zelda: Four Swords Adventures
41,Essentials (PlayStation)
42,Top Cow Productions
43,Rob Liefeld
44,Soul Calibur 2
45,Akio Otsuka
46,Reiko Takagi
47,Master Sword
48,Kasumi (Dead or Alive)
49,Toshiyuki Morikawa
50,Haohmaru
51,The Legend of Zelda (TV series)
52,Madman (Mike Allred character)
53,Taiko: Drum Master
54,Nobuyuki Hiyama
55,The Legend of Zelda (manga)
56,The Legend of Zelda: The Minish Cap
57,Fujiko Takimoto
58,Daisuke Gōri
59,Dōtanuki
60,The Darkness (character)
61,Sara Pezzini
62,Yukari Tamura
63,Save the Queen
64,Jim Valentino
65,Erik Larsen
66,Kohsuke Toriumi
67,Spawn (1997 film)
68,Zelda's Adventure
69,Invincible (character)
70,Hellspawn (Spawn)
71,Super Smash Bros.
72,Supreme (character)
73,The Dark Saga
74,The Legend of Zelda: Twilight Princess
75,McFarlane Toys
76,Bravoman
77,Jin Kazama
78,Whilce Portacio
79,Heihachi Mishima
80,Yōichi Kotabe
81,Darkchylde
82,Nintendo gamebooks
83,Spawn: Armageddon
84,Sam and Twitch
85,Angela (character)
86,Eiji Aonuma
87,Pac-Man Fever (video game)
88,Yoshimitsu
89,Allegra (comics)
90,Glory (character)
91,Violator (comics)
92,Cogliostro
93,Soulcalibur III
94,Yasunori Masutani
95,LCD games from The Legend of Zelda series
96,Namco × Capcom
97,Aria (Image Comics)
98,Greatest Hits (PlayStation)
99,The Pact (comics)
100,Wendee Lee
101,Tech Jacket
102,Soul Caliber II
103,Tingle (character)
104,Heishiro Mitsurugi
105,Siegfried and Nightmare
106,Li Long
107,Astaroth (Soulcalibur)
108,Big Bang Comics
109,Kevin Michael Richardson
110,Avengelyne
111,Spawn (Soul Calibur)
112,Magdalena (character)
113,Aphrodite IX
114,Ivy Valentine
115,Talk:Soulcalibur II
116,Kenneth Irons
117,The DNAgents
118,Deathmate
119,Noble Causes
120,Jason Wynn
121,Tales of Legendia
122,Shadowline
123,Firebreather (comics)
124,Malebolgia
125,Brigade (comics)
126,Nintendo Fusion Tour
127,Codename: Strykeforce
128,Hunter-Killer (comics)
129,Necrid
130,Blacklight (Image Comics)
131,Daredevil (Lev Gleason Publications)
132,Freshly-Picked Tingle's Rosy Rupeeland
133,Hellspawn (comics)
134,America's Best Comics
135,Yumi Tōma
136,Template:Soul series
137,Talk:Tonfa
138,Shi (character)
139,Tira (Soulcalibur)
140,Spike Video Game Awards
141,List of crossovers in video games
142,Brian Haberlin
143,Brian Holguin
144,Ant (character)
145,Curse of the Spawn
146,Megaton Man
147,The Legend of Zelda (disambiguation)
148,Guardians of the Globe
149,Omni-Man
150,Man of Miracles (comics)
151,Zera (character)
152,Todd McFarlane's Spawn
153,List of Namco games
154,Cyber Force (comics)
155,Gødland
156,Jack Staff
157,Pitt (character)
158,Ryūzaburō Ōtomo
159,The Legend of Zelda: Phantom Hourglass
160,User:Color probe/Zelda
161,Awesome Comics
162,SuperPatriot
163,Vicious Circle (comics)
164,Midna
165,SC2
166,Cyblade
167,Takashi Tezuka
168,The Legend of Zelda: A Link to the Past and Four Swords
169,Spawn: The Eternal
170,Spawn: In the Demon's Hand
171,Greg Capullo
172,Mammon (comics)
173,Heap (comics)
174,Tremor (character)
175,Curse (character)
176,The Legend of Zelda: Hyrule Historia
177,Desirée Goyette
178,Badrock
