,linkshere
0,Deus Ex (video game)
1,Duck Hunt
2,Nintendo
3,Rhombicuboctahedron
4,Platform game
5,Gateway
6,Koopa Troopa
7,Shigeru Miyamoto
8,Mario Bros.
9,Super Mario Bros. 3
10,Super Mario World
11,Luigi
12,Mario
13,Bowser
14,Yoshi's Island
15,Killer application
16,Super Mario 64
17,Super Mario Land 2: 6 Golden Coins
18,Game controller
19,Super Mario Bros. 2
20,Super Mario Bros.: The Lost Levels
21,Super Mario Sunshine
22,Donkey Kong 3
23,Super Mario Land
24,The Legend of Zelda: Ocarina of Time
25,The Legend of Zelda (video game)
26,GoldenEye 007 (1997 video game)
27,Neverwinter Nights (2002 video game)
28,Wikipedia:Six degrees of Wikipedia
29,Koji Kondo
30,Wario Land: Super Mario Land 3
31,Halo: Combat Evolved
32,British Academy Games Awards
33,Terrace
34,Dreadnought (disambiguation)
35,Call of Duty (video game)
36,Mushroom Kingdom
37,Koopalings
38,Wii
39,Pokémon Yellow
40,Wikipedia:WikiProject Video games
41,Konpeitō
42,Star Fox 64
43,128 (number)
44,Half-Life 2
45,Nintendo Selects
46,Excitebike
47,Talk:Wii/Archive 11
48,List of Internet phenomena
49,List of video game musicians
50,Rosetta (disambiguation)
51,List of platform game series
52,Star Fox (1993 video game)
53,Super Mario Advance 4: Super Mario Bros. 3
54,SMG
55,Popeye (video game)
56,Donkey Kong Jr.
57,Pac-Man Vs.
58,Camp Hyrule
59,Super Mario 64 DS
60,Symphonic Game Music Concerts
61,Boneyard
62,Jonne Valtonen
63,Galaxy (disambiguation)
64,Characters in the Mario franchise
65,Donkey Kong (video game)
66,Kung-Fu Master (video game)
67,Bowser Jr.
68,Hogan's Alley (video game)
69,Nintendo Space World
70,Wikipedia:Most frequently edited pages
71,Game balance
72,Wild Gunman
73,Donkey Kong Jungle Beat
74,List of messaging applications for Nintendo game consoles
75,Wikipedia:WikiProject Video games/Featured content
76,Talk:Dr. Mario
77,Edge (magazine)
78,Saved game
79,Tennis (1984 video game)
80,Nintendo Entertainment Analysis & Development
81,Super Mario 128
82,Charles Martinet
83,List of Nintendo products
84,BioShock
85,Cooperative video game
86,Portal:Video games
87,NFL 2K1
88,New Super Mario Bros.
89,List of Game of the Year awards
90,List of Wii games
91,Metroid Prime 3: Corruption
92,Gran Turismo 3: A-Spec
93,ISS Pro Evolution 2
94,Baseball (1983 video game)
95,Gravity train
96,Talk:Camp Hyrule
97,Devil World
98,Sunken treasure
99,Freeze frame
100,List of Consolevania episodes
101,Wikipedia:List of Wikipedians by featured article nominations
102,Portal:Japan
103,Portal talk:Japan
104,User:Crumbworks
105,Super Princess Peach
106,Talk:Super Mario 64 2
107,Galaxy 1
108,GameRankings
109,Chain Chomp
110,Sonic the Hedgehog
111,Official Nintendo Magazine
112,Golf (1984 video game)
113,Speedy
114,Dark matter in fiction
115,Wikipedia talk:Special:MostRevisions
116,Tom Clancy's Ghost Recon Advanced Warfighter
117,Caliente
118,Spike Video Game Awards
119,List of Sonic the Hedgehog characters
120,List of crossovers in video games
121,MediEvil 2
122,Daredevil
123,User talk:Wikipedian06
124,User talk:The Prince of Darkness
125,Wikipedia:WikiProject Video games/Nintendo
126,2007 in video games
127,Talk:Mushroom Kingdom
128,Mario Galaxy
129,Super Mario Galaxies
130,Super mario galaxies
131,Talk:Super Mario Galaxy
132,242 (number)
133,Wikipedia talk:WikiProject Video games/Archive 10
134,Super Mario
135,Talk:Wii/Archive 10
136,User:HumanZoom
137,Talk:Tony Hawk's Pro Skater 4
138,Sheriff (video game)
139,Wikipedia:Featured articles
140,Wikipedia:Featured articles/sandbox
141,User:Rlk89/sandbox1
142,User:Art1991
143,User:Unknown Dragon
144,User:Bly1993/Mario series template
145,User:FE411/Video Games
146,User talk:86.3.13.179
147,Max Sedgley
148,Yoshiaki Koizumi
149,User:Warberd
150,User:Link 486
151,Stars and planetary systems in fiction
152,User:Hmich176/Storyline of the Mario series
153,Talk:Bowser/Archive 1
154,User talk:Xoloz/archive11
155,Wii Menu
156,User:Mariokid19
157,User:Masternimbus
158,User:FE411/Wii
159,Talk:Hunter × Hunter/Archive 1
160,User talk:ThomasO1989
161,User:Masky
162,Wikipedia talk:WikiProject Video games/Archive 19
163,Talk:Nintendo Entertainment Analysis & Development
164,User:12grange
165,Talk:Hymns of The Church of Jesus Christ of Latter-day Saints (1985 book)
166,List of places referred to as the Center of the Universe
167,User talk:74.100.225.94
168,User:Masky/Hacks/Menu
169,Manhunt 2
170,Prima Games
171,User:Allahweh1453/My Games
172,User talk:Candy-Panda
173,User:Deathtrap3000
174,Talk:Center of the universe
175,2000s in video games
176,User talk:71.4.194.195
177,User talk:Bill seyzman
178,Wikipedia:Articles for deletion/Log/2007 March 4
179,Wikipedia:Articles for deletion/Hoot the Owl
180,Mii
181,User talk:Thrilla93
182,User:Izzy259
183,Wikipedia:WikiProject Spam/LinkSearch/metacritic.com
184,Opoona
185,Zack & Wiki: Quest for Barbaros' Treasure
186,Wikipedia:WikiProject Video games/Assessment/Requests/Archive 1
187,User:Ericeee10
188,Wikipedia:Articles for deletion/Super Mario 128
189,Wikipedia:Articles for deletion/Log/2007 March 20
190,User:Neo Samus
191,User talk:Kingdavid13
192,Nights: Journey of Dreams
193,User talk:Toa Mario
194,User talk:75.180.63.198
