,linkshere
0,Cuboctahedron
1,Super Mario Kart
2,Platform game
3,2010s
4,Koopa Troopa
5,Super Mario Bros. 3
6,Super Mario World
7,Mario
8,Yoshi
9,Yoshi's Island
10,Waluigi
11,Super Mario 64
12,Super Mario Land 2: 6 Golden Coins
13,Super Mario Bros. 2
14,Super Mario Bros.: The Lost Levels
15,Super Mario Sunshine
16,Super Mario Land
17,Kansai International Airport
18,Koji Kondo
19,Wario Land: Super Mario Land 3
20,British Academy Games Awards
21,Game Critics Awards
22,Kṣitigarbha
23,Mushroom Kingdom
24,Diddy Kong
25,Speedrunning
26,King K. Rool
27,Mr. Game & Watch
28,256 (number)
29,Qix
30,List of video game musicians
31,Super Mario Advance 4: Super Mario Bros. 3
32,Super Mario 64 DS
33,Characters in the Mario franchise
34,Nobuyuki Hiyama
35,Odyssey (disambiguation)
36,Edge (magazine)
37,List of video games set in New York City
38,Lakitu
39,Charles Martinet
40,List of Nintendo products
41,1-Up Studio
42,Super Smash Bros.
43,List of best-selling video games
44,Cooperative video game
45,NFL 2K1
46,New Super Mario Bros.
47,List of Game of the Year awards
48,List of Consolevania episodes
49,Mario's Picross
50,Legend of Kay
51,Super Princess Peach
52,Koban (coin)
53,GameRankings
54,Chain Chomp
55,GamesTM
56,NES Open Tournament Golf
57,Kate Higgins
58,List of crossovers in video games
59,Tyrannosaurus in popular culture
60,SMO
61,Wikipedia:WikiProject Video games/Nintendo
62,List of Donkey Kong characters
63,Super Mario Galaxy
64,Super Mario
65,List of video games notable for speedrunning
66,Jump Up
67,Harriet (name)
68,Taiko no Tatsujin
69,Donkey Kong
70,Yoshiaki Koizumi
71,James Farr
72,Prima Games
73,Yowiko
74,List of best-selling video game franchises
75,Wikipedia:WikiProject Video games/Reference library/Game Informer
76,Moon rabbit
77,Mind control in popular culture
78,Wikipedia:Featured articles in other languages/Russian
79,Nintendo video game consoles
80,List of Angry Video Game Nerd episodes
81,Cappy (juice)
82,People of the Sengoku period in popular culture
83,Gamescom
84,Talk:Topper
85,User:Sgeureka/sandbox
86,Goomba
87,Mario (franchise)
88,New Super Mario Bros. Wii
89,Super Mario Galaxy 2
90,Toad (Nintendo)
91,Japan Game Awards
92,2010s in video games
93,List of dragons in games
94,Tiara (disambiguation)
95,Talk:Paper Mario: Sticker Star
96,Gamer Symphony Orchestra at the University of Maryland
97,User:Abryn/sandbox
98,Kensuke Tanabe
99,Good Game: Spawn Point
100,Super Mario 3D Land
