,linkshere
0,Duck Hunt
1,Mario Kart
2,Nintendo
3,Sonic the Hedgehog (character)
4,Talk:Sonic the Hedgehog (character)/Archive 3
5,The Legend of Zelda
6,Fighting game
7,Dr. Mario
8,Kuru Kuru Kururin
9,GameCube
10,Luigi's Mansion
11,Luigi
12,Mario
13,Yoshi
14,Princess Peach
15,Bowser
16,Donkey Kong (character)
17,Killer application
18,Tetris Attack
19,Waluigi
20,Wario
21,"Apopka, Florida"
22,"Nanuet, New York"
23,"Port Chester, New York"
24,EarthBound
25,Progressive scan
26,Donkey Kong 64
27,Mewtwo
28,Venusaur
29,Squirtle
30,The Legend of Zelda: Majora's Mask
31,Metroid
32,Yahoo! Messenger
33,Sora (Kingdom Hearts)
34,Doshin the Giant
35,Hirokazu Tanaka
36,Kirby (character)
37,Law of Jante
38,List of Game & Watch games
39,Star Fox
40,User:Andrevan
41,Talk:Tetris Attack
42,Pikachu
43,Motoi Sakuraba
44,Cloud Strife
45,5th Annual Interactive Achievement Awards
46,Game Critics Awards
47,Jigglypuff
48,Fire Emblem
49,Mother (video game series)
50,Fox McCloud
51,Super Smash Bros Melee
52,R.O.B.
53,Zelda II: The Adventure of Link
54,Falco Lombardi
55,Hideo Kojima
56,2002 in video games
57,User:Daniel Quinlan/redirects6n
58,Princess Zelda
59,Solid Snake
60,Mushroom Kingdom
61,Koopalings
62,Ice Climber
63,Misty (Pokémon)
64,Captain Falcon
65,Mario Kart: Double Dash
66,Birdo
67,Super Smash Brothers Melee
68,Mew (Pokémon)
69,Pokémon Stadium
70,Diddy Kong
71,Mario Party
72,User talk:Nifboy
73,Marth (Fire Emblem)
74,Roy (Fire Emblem)
75,Talk:Super Smash Bros. Melee/Archive 1
76,Wikipedia:WikiProject Video games
77,List of GameCube games
78,Terry Bogard
79,Link (The Legend of Zelda)
80,Ryu (Street Fighter)
81,Sixth generation of video game consoles
82,Ken Masters
83,King K. Rool
84,Kirby's Dream Land
85,Hikaru Midorikawa
86,Slippy Toad
87,Mr. Game & Watch
88,Balloon Fight
89,Clu Clu Land
90,Esports
91,Ganon
92,Sephiroth (Final Fantasy)
93,Pikmin (video game)
94,Nintendo Selects
95,Captain Olimar
96,Game Arts
97,HAL Laboratory
98,List of fighting games
99,Ridley (Metroid)
100,Super Scope
101,Kirby & the Amazing Mirror
102,Satoru Iwata
103,User talk:Videogamer
104,Fire Emblem: The Blazing Blade
105,Super Monkey Ball (video game)
106,Ryō Horikawa
107,Satomi Kōrogi
108,Shin-ichiro Miki
109,Custom Robo
110,Kirby Air Ride
111,SSB M
112,Gashapon
113,SSBM
114,David Wise (composer)
115,Pollyanna
116,Bowser Jr.
117,Talk:Video game music
118,Talk:Lists of Nintendo characters
119,Takashi Nagasako
120,Nobuyuki Hiyama
121,Nintendo Space World
122,Wikipedia:Most frequently edited pages
123,Wave Race: Blue Storm
124,Dai-Rantou Smash Brothers Deluxe
125,Fujiko Takimoto
126,Sanae Kobayashi
127,Wikipedia:WikiProject Video games/Featured content
128,Jun Fukuyama
129,Wikipedia talk:Village pump/Archive 5
130,Hisao Egawa
131,Melee (disambiguation)
132,Masahiro Sakurai
133,Lakitu
134,Talk:Ice Climber
135,2001 in video games
136,User:JerryArr
137,Super Mario 128
138,Charles Martinet
139,Cubivore: Survival of the Fittest
140,Mother 3
141,List of Nintendo products
142,Lucario
143,Star Wars Rogue Squadron II: Rogue Leader
144,Wolf O'Donnell
145,Pokémon (video game series)
146,Wikipedia:Articles for deletion/Log/2005 March 7
147,Super Smash Bros.
148,Mario & Wario
149,Wikipedia:Articles for deletion/Bunny Hood
150,Wikipedia:Articles for deletion/Freezie
151,Wikipedia:Articles for deletion/Party Ball
152,Wikipedia:Deletion policy/Nintendo items
153,Portal:Video games
154,User:Broco03
155,Super Smash Bros: Melee.
156,Meteos
157,Kazuya Mishima
158,Talk:Super Smash Bros. 3
159,Talk:Fire Emblem: Genealogy of the Holy War
160,List of Vietnamese people
161,Talk:Metagaming
162,HTC
163,Meta Knight
164,User:Gertlex
165,Wikipedia:Articles for deletion/Log/2005 June 25
166,Wikipedia:Articles for deletion/Super Smash Bros. Melee Trophies
167,Video game exploit
168,Talk:Nintendo optical discs
169,Talk:Cranky Kong
170,Tingle (character)
171,Talk:Captain Falcon
172,User talk:Pukachu
173,List of Star Fox characters
174,User:Theprosperonight
175,Zelda Williams
176,User talk:Visor
177,Wikipedia:WikiProject Pokémon/Style
178,User:RealWingus/About me
179,User:Americanidiot
180,Sandbag (SuperSmashBros.Melee)
181,Wikipedia:List of Wikipedians by featured article nominations
182,Talk:List of video game musicians
