,linkshere
0,IKEA
1,Machinima
2,Maxis
3,QuickTime
4,SimCity (1989 video game)
5,The Sims (video game)
6,Mark Mothersbaugh
7,List of Game Boy Advance games
8,Will Wright (game designer)
9,SimCity 4
10,SimCity 2000
11,SimCity 3000
12,SimEarth
13,The Sims Online
14,List of file formats
15,SimAnt
16,H&M
17,Copy protection
18,Utah teapot
19,Electronic Arts
20,Game Critics Awards
21,Video game modding
22,Sims 2
23,User talk:Leonard G.
24,SimGolf
25,List of Macintosh games
26,2004 in video games
27,Raid on Bungeling Bay
28,Nintendo Selects
29,Howard Jones (British musician)
30,List of video game musicians
31,List of fictional doctors
32,Essentials (PlayStation)
33,SimTower
34,SimTown
35,Streets of SimCity
36,PlayStation 2 Expansion Bay
37,SimFarm
38,SimPark
39,SimCopter
40,2005 in video games
41,User:JustPhil
42,SimLife
43,Talk:The Sims 2
44,User:Slambo
45,Wikipedia:Most frequently edited pages
46,RollerCoaster Tycoon 3
47,Talk:Multi-agent system
48,The Urbz: Sims in the City
49,Charlotte Martin
50,PC Fútbol
51,Legacy Challenge (The Sims 2)
52,Chris Vrenna
53,The Sims Bustin' Out
54,Rooster Teeth
55,Talk:Harvey (1950 film)
56,SimHealth
57,The Strangerhood
58,The Lord of the Rings Online
59,Gerri Lawlor
60,SimCity 64
61,List of The Sims video games
62,Dragon Quest V
63,Andy Brick
64,Sid Meier's SimGolf
65,Songs Not to Get Married To
66,Simlish
67,Wikipedia:Articles for deletion/Log/2005 April 14
68,Wikipedia:Articles for deletion/Legacy Challenge (The Sims 2)
69,Talk:Jefferson County Public Schools (Kentucky)
70,Pink Floyd pigs
71,Talk:Legacy Challenge (The Sims 2)
72,Pinstar1161
73,SimsVille
74,Legacy Challenge
75,SimTunes
76,Juliet
77,Fred Haslam (game designer)
78,Sacred (video game)
79,Trapped in the Closet
80,SimSafari
81,SimIsle: Missions in the Rainforest
82,Male pregnancy
83,Social Bunny
84,The Faery Tale Adventure
85,Strangetown
86,Veronaville
87,Mutato Muzika
88,Apple Design Awards
89,Gaelic Storm
90,Jazzercise
91,Video Mods
92,Talk:The Monkey's Paw
