,linkshere
0,Final Fantasy
1,Beat
2,Goofy
3,Square Enix
4,Kingdom Hearts (video game)
5,Sora (Kingdom Hearts)
6,Yoko Shimomura
7,Battle Royale (novel)
8,Battle Royale (film)
9,Fullmetal Alchemist
10,Wikipedia talk:Featured article candidates
11,Wikipedia:WikiProject Video games
12,Haré+Guu
13,Riku (Kingdom Hearts)
14,List of anime based on video games
15,Marble (toy)
16,Peacemaker Kurogane
17,Hachikō
18,Einhänder
19,Wikipedia:Most frequently edited pages
20,Kingdom Hearts: Chain of Memories
21,Wikipedia:WikiProject Video games/Featured content
22,Xehanort
23,Hitomi Nabatame
24,List of Nintendo products
25,Super Smash Bros.
26,The Mythical Detective Loki Ragnarok
27,Portal:Video games
28,Kingdom Hearts II
29,Spiral: The Bonds of Reasoning
30,List of Square Enix compilation albums
31,Mamotte Shugogetten
32,List of Square Enix video games
33,He Is My Master
34,Satomi Arai
35,Organization XIII
36,Final Fantasy Legend II
37,Music of the Final Fantasy VII series
38,Takeharu Ishimoto
39,Characters of Kingdom Hearts
40,Wikipedia:List of Wikipedians by featured article nominations
41,High School! Kimengumi
42,Jupiter Corporation
43,Violinist of Hameln
44,Kate Higgins
45,Gangan Comics
46,Kingdom Hearts
47,Wikipedia talk:Featured article review
48,Star Ocean: The Second Story (manga)
49,O-Parts Hunter
50,Travis Willingham
51,Spike Video Game Awards
52,Passion (Hikaru Utada song)
53,Roxas (Kingdom Hearts)
54,Tokyo Underground
55,Hikari (Hikaru Utada song)
56,Template:Kingdom Hearts series
57,Shiro Amano
58,Koki Uchiyama
59,UFO Ultramaiden Valkyrie
60,Magical Circle Guru Guru
61,Olivia Lufkin
62,Papuwa
63,Higurashi When They Cry
64,Universe of Kingdom Hearts
65,User talk:Chan Yin Keen
66,Twin Signal
67,2007 in video games
68,User talk:Tinkleheimer
69,Motomu Toriyama
70,Final Fantasy Type-0
71,User talk:MF14
72,Lara Cody
73,Bob Buchholz
74,Wikipedia:Featured articles
75,Wikipedia:Featured articles/sandbox
76,User talk:Ciao 90
77,Kiryu
78,Wikipedia:WikiProject Video games/New article announcements/September 2006
79,Wikipedia:WikiProject Square Enix
80,Wikipedia:WikiProject Square Enix/Index
81,Talk:The World Ends with You
82,Portal:Video games/Featured article
83,Talk:Uncharted: Drake's Fortune
84,User talk:Evaunit666
85,Shane Johnson (actor)
86,User:SaturnYoshi/Templates
87,User talk:Greeves
88,Nagasarete Airantō
89,Wikipedia:Manual of Style/Video games
90,User:Masem
91,Talk:Pokémon Diamond and Pearl
92,Carpe diem (disambiguation)
93,User talk:Ashnard
94,Jyongri
95,User:Koryu Obihiro
96,Kingdom Hearts III
97,Kingdom Hearts IV
98,2008 in video games
99,Moribito: Guardian of the Spirit
100,User talk:Guru Larry
101,Material Puzzle
102,It's A Wonderful World (game)
103,Hero Tales
104,User talk:Wageslave
105,The Record of a Fallen Vampire
106,A Certain Magical Index
107,Aqua (Kingdom Hearts)
108,Wikipedia:WikiProject Video games/Reference library/Game Informer
109,Wikipedia:WikiProject Video games/Reference library/Official Nintendo Magazine
110,Terra (Kingdom Hearts)
111,List of Kingdom Hearts media
112,Music of Kingdom Hearts
113,User talk:Masterchief46517/archive
114,User talk:SuperChencho
115,Soul Eater (manga)
116,User talk:Martarius
117,Talk:List of Square video games
118,Subarashiki Kono Sekai
119,User talk:Sdegner
120,User talk:Strongsauce
121,Kingdom Hearts Birth by Sleep
122,Kingdom Hearts 358/2 Days
123,Kingdom Hearts Coded
124,Wikipedia:Featured articles in other languages/Russian
125,User talk:Mynameisnotpj
126,Wikipedia:WikiProject Square Enix/leftpanel
127,User talk:UnaLaguna/Automated messages
128,User talk:Smashbrosboy
129,User talk:Fusionmix
130,User:Dr pda/Featured article statistics
131,"Stephanie (singer, born August 1987)"
132,Watashi no Messiah-sama
133,It's a Wonderful World (video game)
134,Wikipedia:Featured articles promoted in 2008
135,User talk:Poss
136,User talk:James086/2008/Archive1
137,Kingdom Hearts Mobile
138,User talk:Wiki131wiki
139,Wikipedia talk:Spoiler/Archive 15
140,User talk:Awl/Archive 1
141,Lullaby for You
142,User talk:JayC/Archive 3
143,User talk:LEGOMANVII
144,Talk:GunZ: The Duel
145,User talk:Red Phoenix/Archive 1
146,User talk:A Common Man
147,User talk:Prepsear
148,Sigma Harmonics
149,User talk:Staka/Archive 2
150,User talk:Kanonkas/Archive 1
151,User talk:Tyciol/2008
152,User talk:Biggubeaa
153,User talk:Jacoplane/archive16
154,User talk:TTN/Archive 12
155,Wikipedia:WikiProject Video games/New article announcements/2006
156,Twewy
157,User talk:Rooster212
158,User talk:Stvrain69
159,User talk:Connorflanagan
160,TWEWY
161,The World Ends With You
162,User talk:.:Alex:./Newsletter/Video games
163,User talk:Intelligent9876522/signpost
164,Wikipedia talk:External links/Archive 21
165,Doubt (horror manga)
166,User talk:Nm88
167,Wikipedia:Featured article candidates/Super Smash Bros. Brawl
168,User talk:UltimateCyborgNinja
169,User talk:Nomader/signpost
170,User talk:Coltrain5041
171,User talk:ZappyGun
172,Neku Sakuraba
173,User talk:Zarex/Newsletters/WikiProject Video games
174,User talk:GTA Ganxtaize/Newsletters/WPVG
175,User:GTA Ganxtaize/Newsletters/WPVGDisplay
176,User talk:Promethean/wvgn
177,User talk:74.183.103.213
178,Corpse Princess
