,linkshere
0,Mario Kart
1,Tennis
2,History of video games
3,2000s
4,Final Fantasy VII
5,Final Fantasy VIII
6,Final Fantasy X
7,Shigeru Miyamoto
8,Killer application
9,Mario Tennis
10,The Legend of Zelda: Ocarina of Time
11,Ten-pin bowling
12,Koji Kondo
13,Ian Wright
14,Phantasy Star Online
15,Rare (company)
16,British Academy Games Awards
17,Game Critics Awards
18,Game Developers Choice Awards
19,Mario Golf: Toadstool Tour
20,Sports video game
21,Final Fantasy XI
22,Wii
23,Wikipedia:WikiProject Video games
24,Nintendo Selects
25,List of years in games
26,List of fighting games
27,Talk:Uncanny valley
28,Final Fantasy XII
29,Avatar (computing)
30,Mario Power Tennis
31,List of messaging applications for Nintendo game consoles
32,Nintendogs
33,Wikipedia:WikiProject Video games/Featured content
34,Mario Superstar Baseball
35,Tennis (1984 video game)
36,Nintendo Entertainment Analysis & Development
37,Mario's Tennis
38,Dance Dance Revolution: Mario Mix
39,Monster Hunter (video game)
40,Dragon Quest VIII
41,List of Nintendo products
42,User:Jaguarundi
43,WaveBird Wireless Controller
44,Metal Gear Solid 4: Guns of the Patriots
45,Super Smash Bros.
46,List of best-selling video games
47,Portal:Video games
48,List of Game of the Year awards
49,SSX on Tour
50,List of Wii games
51,Super Mario Strikers
52,Touhou Project
53,Brain Age: Train Your Brain in Minutes a Day!
54,Mario Golf: Advance Tour
55,Nintendo optical discs
56,The Godfather (2006 video game)
57,G-Phoria
58,2006 in video games
59,Wikipedia:WikiProject Boxing
60,Wikipedia:List of Wikipedians by featured article nominations
61,Nintendo Wi-Fi Connection
62,Virtual Console
63,Nintendo Fusion Tour
64,Mario Hoops 3-on-3
65,Crosswords DS
66,NES Open Tournament Golf
67,Wikipedia:WikiProject Video games/Essential articles
68,Golf (1984 video game)
69,Mario Tennis: Power Tour
70,Hotseat (multiplayer mode)
71,Spike Video Game Awards
72,Dolphin (emulator)
73,List of crossovers in video games
74,Talk:Wittenberg University
75,Mario Golf (video game)
76,Katsuya Eguchi
77,Nintendo Wi-Fi USB Connector
78,Casual game
79,Broadway (microprocessor)
80,Jamia Simone Nash
81,Kazumi Totaka
82,Video game culture
83,Mario Party 8
84,Wikipedia:WikiProject Video games/Nintendo
85,Wikipedia:WikiProject Video games/Nintendo/Essential articles
86,NBA Street V3
87,User:PantheraLeo
88,User:Zeno McDohl/games
89,List of Wii Wi-Fi Connection games
90,2007 in video games
91,Excite Truck
92,Wii sports
93,WiiConnect24
94,Clubhouse Games
95,Talk:Wii Sports
96,WarioWare: Smooth Moves
97,Brain Age 2: More Training in Minutes a Day!
98,Wii Remote
99,Elite Beat Agents
100,Sudoku Gridmaster
101,Wikipedia:Editor review/Ac1983fan
102,User:Obinho~enwiki
103,Touch! Generations
104,I Promised Myself
105,User:Drewdy
106,Wii Music
107,Wikipedia:Featured articles
108,Taiko no Tatsujin
109,Wikipedia:Featured articles/sandbox
110,Template:Wii
111,Wikipedia:Templates for deletion/Log/2006 August 5
112,List of baseball video games
113,Talk:Fitness game
114,User:FE411/Video Games
115,Mario Strikers Charged
116,Talk:Kazumi Totaka
117,User:Spaction3
118,Wii Menu
119,Endless Ocean
120,Wii Play
121,Template:Wii series
122,Portal:Video games/Featured article
123,Good Game (TV program)
124,Wikipedia:WikiProject Tennis
125,User:Trmptboy2007
126,User:FE411/Wii
127,File:Wii Sports Europe.jpg
128,Talk:Wii Startup Disc
129,User:Duhman0009/draft1
130,User:Scepia/video games/Wii/changes after release
131,User:Duhman0009/draft2
132,User:Scepia/Wii/horizontal lines
133,User:JQF/WiiLaunchDraft
134,User:JQF/WiiLaunchDraft2
135,Wikipedia:Articles for deletion/Log/2006 November 20
136,Wikipedia:Articles for deletion/Wii Motor Sports
137,WiiSports
138,Wiisports
139,List of Virtual Console games for Wii (North America)
140,Monster Hunter Freedom 2
141,Wii Zapper
142,User talk:The Hybrid/Archive 2
143,Wikipedia:WikiProject Golf
144,User talk:80.4.100.156
145,User:Sluggo34
146,Wii Sports: Golf
147,DarwiinRemote
148,Wii Shop Channel
149,List of Virtual Console games for Wii (Japan)
150,User talk:81.109.91.222
151,User talk:89.100.161.3
152,Manhunt 2
153,Satoru Shibata
154,User:Allahweh1453/My Games
155,Wikipedia:WikiProject Baseball/Articles/Page1
156,User:Ginsengbomb/VandalismLog
157,User:Deathtrap3000
158,2000s in video games
159,Wikipedia talk:WikiProject Video games/Archive 22
160,Big Brain Academy: Wii Degree
161,Everybody Votes Channel
162,Classic Controller
163,Planet Puzzle League
164,User:Djungelurban
165,User talk:81.44.137.126
166,Mii
167,Wikipedia:WikiProject Spam/LinkSearch/metacritic.com
168,Wikipedia:WikiProject Spam/LinkSearch/Metacritic.com
169,2008 in video games
170,User:Neo Samus
171,Template:Mario sports games
172,Mario & Sonic at the Olympic Games
173,User:Zachary/Video Games
174,Wikipedia:WikiProject Video games/Peer review/List of Wii games
175,User:ItsNotLupus
176,Picross DS
177,Chick Chick Boom
178,User:The Mighty Kinkle
179,"Wikipedia:WikiProject Spam/COIReports/2007, Apr 17"
180,User talk:Wageslave
181,User:Wageslave
182,List of best-selling video game franchises
183,EA Playground
184,Wikipedia:WikiProject Video games/Reference library/Electronic Gaming Monthly
185,Wikipedia:WikiProject Video games/Reference library/Official Nintendo Magazine
186,User:Mhzfutbol5
187,Seventh generation of video game consoles
188,WiiWare
189,User:Moviemaniacx
190,Wikipedia:Articles for deletion/Log/2007 July 10
191,Wikipedia:Articles for deletion/Wii sports cheats
192,Mario Kart Wii
193,Wii Balance Board
194,Wii Fit
195,Flash Focus: Vision Training in Minutes a Day
196,User:Tigerghost/Sandbox
197,Wikipedia:WikiProject Spam/LinkReports/eurogamer.net
198,User talk:The Hybrid/Archive 12
199,User:Guyinblack25/Sandbox
200,Victorious Boxers: Revolution
201,Golden Joystick Awards
202,Wii Chess
203,Japan Media Arts Festival
204,User talk:74.213.71.137
205,User talk:Virushaxxors245
206,Wii system software
207,Wii Tennis
208,Wii Baseball
209,Wii Boxing
210,Wii Bowling
211,Wii Golf
212,Wii Sport
213,Wikipedia:Featured articles in other languages/French
214,Wikipedia:Featured articles in other languages/Portuguese
215,User:Mmark089
216,List of WiiWare games
217,Mario Super Sluggers
218,Vii
219,Wikipedia:WikiProject Bowling
220,User:Guyinblack25/Accomplishments
221,List of Wii games using WiiConnect24
222,User:Toadwildride
223,AMF Bowling Pinbusters!
224,Wiimbledon
225,User:Cheesemeister/Sandbox
226,Monster Hunter Freedom Unite
227,User talk:Wonchop
228,User:Dr pda/Featured article statistics
229,User:Tntnnbltn/games
230,Ninja Reflex
231,Check Mii Out Channel
232,12th Satellite Awards
233,Wikipedia:Featured articles promoted in 2008
234,Talk:List of best-selling video games/Archive 4
235,Wikipedia:Featured article candidates/Featured log/February 2008
236,Professor Kageyama's Maths Training: The Hundred Cell Calculation Method
237,Wikipedia:Featured article candidates/Wii Sports
238,Wikipedia:WikiProject Spam/LinkReports/gothamist.com
239,"Wikipedia:Goings-on/February 17, 2008"
240,GameCube controller
241,Wikipedia:Wikipedia Signpost/2008-02-25/Features and admins
242,Wikipedia talk:WikiProject Bowling
243,2009 in video games
244,User talk:SandyGeorgia/arch28
245,Manhunt (video game series)
246,Wikipedia:WikiProject Video games/1UP Reference Update Task Force
247,Wikipedia:WikiProject Spam/LinkReports/1up.com
248,Wii Soprts
249,Wikipedia:Mediation Cabal/Cases/2008-03-17 Spore (video game)
250,Wii Freeloader
