,linkshere
0,Chrono Cross
1,Kid Icarus
2,Mario Kart
3,Mecha
4,Nintendo
5,The Legend of Zelda
6,Xenogears
7,Talk:Xenogears
8,Kuru Kuru Kururin
9,Metroid
10,Yasunori Mitsuda
11,List of Game & Watch games
12,Star Fox
13,Fire Emblem
14,Mother (video game series)
15,Xenosaga
16,KOS-MOS
17,Role-playing video game
18,Talk:Deus Ex: Invisible War
19,XC
20,Mario Party
21,Excitebike
22,List of video game franchises
23,List of video game developers
24,Custom Robo
25,Monolith Soft
26,Wars (series)
27,Nintendogs
28,Baten Kaitos: Eternal Wings and the Lost Ocean
29,Pikmin
30,Tetsuya Takahashi
31,Kunihiko Tanaka
32,List of Nintendo products
33,Shion Uzuki
34,Pokémon (video game series)
35,Super Smash Bros.
36,List of avian humanoids
37,F-Zero
38,Xenosaga I & II
39,Namco × Capcom
40,List of video game genres
41,Baten Kaitos Origins
42,Xenosaga: The Animation
43,List of Xenosaga characters
44,Template:Xeno
45,Xenosaga: Pied Piper
46,List of crossovers in video games
47,Soraya Saga
48,Xenosaga Episode I
49,Xenosaga Episode II
50,Xenosaga Episode III
51,Creid
52,The Legendary Starfy
53,Wikipedia:WikiProject Video games/Nintendo
54,Jenna Coleman
55,Disaster: Day of Crisis
56,Super Mario
57,Kid Icarus (series)
58,Touch! Generations
59,Bit Generations
60,User:Ike-bana/Xenosaga III Original Sound Best Tracks Yuki Kajiura Selection
61,User:Ike-bana/Xenosaga II MOVIE SCENE SOUNDTRACK
62,User:Ike-bana/List of Xenosaga soundtracks
63,Donkey Kong
64,Animal Crossing
65,Kellie Bright
66,History of Nintendo
67,Cruis'n
68,Kirby (series)
69,User:Neo Samus
70,Killer Instinct
71,Talk:Fatal Frame III: The Tormented
72,Wario (series)
73,Puzzle League
74,User:Inuboy1000
75,Nintendo Software Planning & Development
76,Wikipedia:WikiProject Video games/Nintendo/Right panel
77,Super Robot Wars OG Saga: Endless Frontier
78,Soma Bringer
79,Characters in the Super Smash Bros. series
80,Fossil Fighters (video game)
81,Xenogears Original Soundtrack
82,Talk:Xenogears/Archive 1
83,Characters of Xenogears
84,Punch-Out!!
85,Art Style
86,Brain Age
87,Dragon Ball Z: Attack of the Saiyans
88,Template:Nintendo franchises
89,Mario (franchise)
90,Golden Sun
91,Wikipedia:WikiProject Video games/Popular pages
92,List of Nintendo development teams
93,Style Savvy
94,Music of Xenosaga
95,Xenoblade Chronicles (video game)
96,Talk:Xenoblade Chronicles (video game)
97,2010s in video games
98,User:Sergecross73
99,Wii (video game series)
100,List of Xenosaga media
101,User:Abryn/sandbox
102,Art Academy (video game)
103,User talk:Peter.C/2011
104,Myth: The Xenogears Orchestral Album
105,List of Yoshi video games
106,Mao Ichimichi
107,Xenoblade
108,Pandora's Tower
109,The Legend of Zelda: Breath of the Wild
110,User talk:Player017
111,User:Player017
112,User:E2su
113,User talk:Saru786
114,User:ProtoDrake
115,Pilotwings
116,User talk:Sergecross73/Archive 2
117,Game & Watch
118,Pushmo
119,User talk:KRISHANKO
120,User talk:Sergecross73/Archive 3
121,User talk:Miles Blues/Archive 3
122,List of fictional humanoid species in video games
123,User talk:90.9.186.225
124,Project X Zone
125,User:West.andrew.g/Dead links/Archive 655
126,User:Zeldasmash
127,User talk:76.85.193.33
128,User:CapsulateMule/sandbox
129,User:Joeyppeters/Emiliano Rodolfo Rosales-Birou (chuggaaconroy)
130,User:Player017/sandbox
131,Wikipedia talk:WikiProject Video games/Archive 95
132,User:Jericho Darkstar/sandbox
133,User:Jericho Darkstar/Project crystallis
134,Wikipedia talk:Requests for comment/Jagged 85/Cleanup23
135,Wikipedia talk:Requests for comment/Jagged 85/Index
136,2015 in video games
137,2017 in video games
138,Shulk
139,Wikipedia talk:WikiProject Video games/Archive 97
140,Xeno (series)
141,User talk:174.76.118.13
142,User:Player017/Books/Video Games Currently of Interest
143,User talk:Derpyderpyherp
144,User talk:Ost316/Archive 5
145,User:UberPyro64/sandbox
146,Wikipedia:Articles for improvement/Archives/Unsuccessful Nominations/June 2013
147,Xenoblade Chronicles X
148,Talk:Xenosaga
149,User:KamiCrit
150,Did You Know Gaming?
151,Wikipedia:Categories for discussion/Log/2014 February 6
152,Wikipedia:WikiProject Video games/Nintendo/Article alerts/Archive
153,User talk:Luigi771621
154,Talk:Terra Battle
155,Wikipedia talk:WikiProject Video games/Archive 109
156,User:Paradox295/sandbox/MCM Comic Con
157,User:Player017/Books/Timeline of Video Games of Interest
158,User talk:204.186.81.194
159,Talk:Super Smash Bros. for Nintendo 3DS and Wii U/Archive 1
160,User talk:Meatloafninja
161,User:Ichthyoid/Video game lists
162,User talk:Guy who likes pie223223
163,BoxBoy! (video game)
164,Project X Zone 2
165,Wikipedia:WikiProject Video games/Nintendo/Franchises
166,Chibi-Robo!
167,User:MomoQca
168,User:Ichthyoid/games
169,Wikipedia talk:WikiProject Video games/Archive 114
170,Famicom Detective Club
171,List of Iwata Asks interviews
172,User talk:ProtoDrake/Archive 5
173,List of best-selling Japanese role-playing game franchises
174,Wikipedia:WikiProject Albums/Article alerts/Archive 7
175,User:OceanHok/sandbox/Major
176,User talk:Sergecross73/Archive 39
177,Valkyria Revolution
178,Xenoblade (series)
179,Wikipedia:WikiProject Video games/Article alerts/Archive 5
180,Talk:Xenoblade Chronicles (video game)/GA1
181,User:Cobbutksbspotraoobat/Video games
182,Wikipedia:WikiProject Video games/Newsletter/20160106/Quality content
183,Wikipedia talk:WikiProject Video games/Archive 119
184,User talk:ProtoDrake/Archive 6
