,related titles
0,Animal_Crossing_(video_game)
1,Animal_Crossing:_Wild_World
2,Super_Smash_Bros.
3,Animal_Crossing:_City_Folk
4,Mii
5,Tom_Nook
6,K.K._Slider
7,List_of_Animal_Crossing_media
8,Animal_Crossing:_New_Leaf
9,Dog_(Duck_Hunt)
10,Mr._Resetti
11,Super_Smash_Bros._for_Nintendo_3DS_and_Wii_U
12,Villager_(Animal_Crossing)
13,Amiibo
14,Animal_Crossing:_Happy_Home_Designer
15,Animal_Crossing:_Amiibo_Festival
16,Xenoblade_Chronicles
17,Isabelle_(Animal_Crossing)
18,Wii_Fit_Trainer
19,Characters_in_the_Animal_Crossing_series
