,related titles
0,Assassin's_Creed_(video_game)
1,Tom_Clancy's_Splinter_Cell:_Conviction
2,Desmond_Miles
3,Assassin's_Creed
4,Silent_Hunter_5:_Battle_of_the_Atlantic
5,Assassin's_Creed_II:_Discovery
6,The_Settlers_7:_Paths_to_a_Kingdom
7,Ezio_Auditore_da_Firenze
8,Assassin's_Creed_III
9,Altaïr_Ibn-La'Ahad
10,Unlockable_(gaming)
11,List_of_Assassin's_Creed_characters
12,Assassin's_Creed:_Brotherhood
13,Ubisoft_Connect
14,Assassin's_Creed:_Revelations
15,Assassin's_Creed_IV:_Black_Flag
16,Assassin's_Creed_Rogue
17,Assassin's_Creed_Freedom_Cry
18,Ubisoft+
19,Assassin's_Creed_III:_The_Tyranny_of_King_Washington
