,related titles
0,All-Star_Baseball_2003
1,Tom_Clancy's_Splinter_Cell_(video_game)
2,Prince_of_Persia:_The_Sands_of_Time
3,Michel_Ancel
4,Madden_NFL_2003
5,All-Star_Baseball_2004
6,Aquaman:_Battle_for_Atlantis
7,Rayman_Raving_Rabbids
8,Hunter:_The_Reckoning_(video_game)
9,MLB_Slugfest_20-04
10,NBA_Jam_(2003_video_game)
11,TMNT_(video_game)
12,Ubisoft_Montpellier
13,Jade_(Beyond_Good_&_Evil)
14,Beyond_Good_and_Evil_2
15,NFL_Blitz_Pro
16,Scott_Pilgrim_vs._the_World:_The_Game
17,Rayman_Legends
18,List_of_Monster_Jam_video_games
19,NBA_Inside_Drive
