,related titles
0,Return_to_Castle_Wolfenstein
1,Call_of_Duty_(video_game)
2,Perfect_Dark_Zero
3,Brothers_in_Arms:_Road_to_Hill_30
4,Tom_Clancy's_Ghost_Recon_2
5,Tom_Clancy's_Rainbow_Six:_Lockdown
6,Operation_Flashpoint:_Dragon_Rising
7,Brothers_in_Arms:_Earned_in_Blood
8,Star_Wars:_Battlefront_II_(2005_video_game)
9,Medal_of_Honor:_Airborne
10,Call_of_Duty_3
11,Tom_Clancy's_Ghost_Recon_Advanced_Warfighter
12,Call_of_Duty
13,Call_of_Duty_4:_Modern_Warfare
14,Call_of_Duty:_World_at_War
15,Call_of_Duty:_Modern_Warfare_2
16,Call_of_Duty:_Black_Ops
17,Call_of_Duty:_Modern_Warfare_3
18,Call_of_Duty:_Ghosts
19,Call_of_Duty:_Advanced_Warfare
