,related titles
0,Sid_Meier's_Alpha_Centauri
1,Civilization_(video_game)
2,Sid_Meier
3,Civilization_II
4,Firaxis_Games
5,Civilization_III
6,4X
7,Sid_Meier's_Gettysburg!
8,Sid_Meier's_Antietam!
9,Civilization_(series)
10,Civilization_IV:_Beyond_the_Sword
11,Civilization_Revolution
12,Civilization_V
13,Civilization_IV:_Colonization
14,Rhye's_and_Fall_of_Civilization
15,Civilization:_Beyond_Earth
16,Civilization:_Beyond_Earth_–_Rising_Tide
17,Civilization_VI
18,List_of_games_by_Firaxis_Games
19,List_of_Civilization_media
