,related titles
0,Megami_Tensei
1,Revelations:_Persona
2,FromSoftware
3,Devil_Summoner:_Soul_Hackers
4,King's_Field_(video_game)
5,Odin_Sphere
6,Vanillaware
7,Devil_Summoner
8,Muramasa:_The_Demon_Blade
9,Shin_Megami_Tensei:_Strange_Journey
10,List_of_tactical_role-playing_video_games:_2005_to_2009
11,3D_Dot_Game_Heroes
12,Shadow_Tower_Abyss
13,Video_games_in_Japan
14,Dragon's_Crown
15,Atlus_USA
16,Dark_Souls
17,List_of_Megami_Tensei_video_games
18,Demon's_Souls_(2020_video_game)
19,Soul_Hackers_2
