,related titles
0,Deus_Ex_(video_game)
1,Deus_Ex:_Invisible_War
2,Ion_Storm
3,Warren_Spector
4,JC_Denton
5,Doug_Church
6,Project_Snowblind
7,Thief:_Deadly_Shadows
8,Square_Enix_Europe
9,Deus_ex_machina_(disambiguation)
10,Deus_Ex:_Human_Revolution
11,Eidos-Montréal
12,Deus_Ex:_The_Fall
13,Development_of_Deus_Ex
14,Deus_Ex:_Mankind_Divided
15,Deus_Ex_Go
16,List_of_Square_Enix_Europe_games
17,Deus_Ex:_Human_Revolution_–_The_Missing_Link
18,List_of_Deus_Ex_media
19,Marvel's_Guardians_of_the_Galaxy
