,related titles
0,Dante_(Devil_May_Cry)
1,Devil_May_Cry_3:_Dante's_Awakening
2,Vergil_(Devil_May_Cry)
3,Lady_(Devil_May_Cry)
4,Devil_May_Cry_2
5,Devil_May_Cry_4
6,Trish_(Devil_May_Cry)
7,Devil_May_Cry_3_(manga)
8,Nero_(Devil_May_Cry)
9,Characters_of_Devil_May_Cry
10,Hideki_Kamiya
11,Devil_May_Cry:_The_Animated_Series
12,Devil_May_Cry_(novels)
13,Devil_May_Cry_(video_game)
14,Devil_May_Cry_5
15,DmC:_Devil_May_Cry
16,Hideaki_Itsuno
17,Devil_May_Cry_4:_Special_Edition
18,Bingo_Morihashi
19,Viewtiful_Joe
