,related titles
0,Dragon_Quest
1,Slime_(series)
2,Dragon_Quest_VII
3,Itadaki_Street
4,Dragon_Quest_IV
5,Dragon_Quest_(video_game)
6,Dragon_Quest_VI
7,Dragon_Quest_V
8,List_of_Square_Enix_video_games
9,Dragon_Quest_Heroes:_Rocket_Slime
10,Slime_(Dragon_Quest)
11,Dragon_Quest:_Shōnen_Yangus_to_Fushigi_no_Dungeon
12,Dragon_Quest_Monsters:_Joker
13,Dragon_Quest_IX
14,Akihiro_Hino
15,Dragon_Quest_&_Final_Fantasy_in_Itadaki_Street_Portable
16,Shinji_Hashimoto
17,Dragon_Quest_X
18,List_of_Dragon_Quest_media
19,Dragon_Quest_XI
