,related titles
0,Lionhead_Studios
1,Fable_(2004_video_game)
2,Marvel:_Ultimate_Alliance
3,Guitar_Hero_II
4,List_of_songs_in_Guitar_Hero_II
5,List_of_songs_in_Rock_Band
6,Downloadable_content
7,Fable_II_Pub_Games
8,List_of_songs_in_Guitar_Hero:_Aerosmith
9,Marvel:_Ultimate_Alliance_2
10,Avatar_(Xbox)
11,Fable_III
12,Fallout_3_downloadable_content
13,Project_Milo
14,Fable_(video_game_series)
15,Fable:_The_Journey
16,Fable_Heroes
17,Music_of_the_Fable_series
18,Fable_Legends
19,List_of_Lionhead_Studios_games
