,related titles
0,Final_Fantasy
1,Final_Fantasy_VIII
2,Masashi_Hamauzu
3,Final_Fantasy_X-2
4,Spira_(Final_Fantasy)
5,Squall_Leonhart
6,Music_of_Final_Fantasy_X
7,Ivalice
8,Characters_of_Final_Fantasy_X_and_X-2
9,Real_Emotion_/_1000_no_Kotoba
10,Music_of_Final_Fantasy_X-2
11,Dissidia_Final_Fantasy
12,Yuna_(Final_Fantasy)
13,Rikku
14,Tidus
15,Final_Fantasy_concerts
16,Dissidia_012_Final_Fantasy
17,Final_Fantasy_Airborne_Brigade
18,Final_Fantasy_X/X-2_HD_Remaster
19,Recurring_elements_in_the_Final_Fantasy_series
