,related titles
0,God_of_War_(2005_video_game)
1,God_of_War
2,God_of_War:_Chains_of_Olympus
3,God_of_War_III
4,Nike_(mythology)
5,God_of_War:_Betrayal
6,Typhon_(comics)
7,Cory_Barlog
8,Kratos_(God_of_War)
9,God_of_War_(franchise)
10,Ares_in_popular_culture
11,Characters_of_God_of_War
12,God_of_War:_Ghost_of_Sparta
13,High-definition_remasters_for_PlayStation_consoles
14,Hephaestus_in_popular_culture
15,Titans_in_popular_culture
16,God_of_War:_Ascension
17,God_of_War_video_game_collections
18,God_of_War_(2018_video_game)
19,God_of_War_Ragnarök
