,related titles
0,PlayStation_Portable
1,God_of_War_(2005_video_game)
2,Ready_at_Dawn
3,Santa_Monica_Studio
4,God_of_War_II
5,God_of_War:_Chains_of_Olympus
6,God_of_War:_Betrayal
7,PlayStation
8,Kratos_(God_of_War)
9,God_of_War_(franchise)
10,Bluepoint_Games
11,Characters_of_God_of_War
12,God_of_War:_Ghost_of_Sparta
13,High-definition_remasters_for_PlayStation_consoles
14,Titans_in_popular_culture
15,God_of_War:_Ascension
16,PlayStation_All-Stars_Battle_Royale
17,God_of_War_video_game_collections
18,PlayStation_3_models
19,God_of_War_(2018_video_game)
