,related titles
0,Ascension
1,Ragnarok_(disambiguation)
2,God_of_War_(2005_video_game)
3,Bloodline_(disambiguation)
4,Norse_mythology_in_popular_culture
5,God_of_War_II
6,Andy_Park_(comics)
7,Hell_on_Earth
8,Gods_of_War_(Manowar_album)
9,God_of_War:_Chains_of_Olympus
10,God_of_War_III
11,Kratos_(God_of_War)
12,God_of_War_(franchise)
13,Ares_in_popular_culture
14,Characters_of_God_of_War
15,God_of_War:_Ghost_of_Sparta
16,High-definition_remasters_for_PlayStation_consoles
17,Jason_in_popular_culture
18,Hephaestus_in_popular_culture
19,God_of_War_video_game_collections
