,related titles
0,Grand_Theft_Auto:_Vice_City
1,Grand_Theft_Auto_III
2,Rockstar_North
3,Grand_Theft_Auto:_San_Andreas
4,Grand_Theft_Auto
5,Grand_Theft_Auto:_Liberty_City_Stories
6,Grand_Theft_Auto_clone
7,Euphoria_(software)
8,Niko_Bellic
9,Controversies_surrounding_Grand_Theft_Auto_IV
10,Grand_Theft_Auto:_Chinatown_Wars
11,Grand_Theft_Auto_IV:_The_Lost_and_Damned
12,Grand_Theft_Auto:_The_Ballad_of_Gay_Tony
13,List_of_games_by_Rockstar_Games
14,Grand_Theft_Auto_V
15,Development_of_Grand_Theft_Auto_V
16,Grand_Theft_Auto_Online
17,Controversies_surrounding_Grand_Theft_Auto_V
18,Grand_Theft_Auto:_The_Trilogy_–_The_Definitive_Edition
19,Untitled_Grand_Theft_Auto_game
