,related titles
0,Grand_Theft_Auto:_Vice_City
1,Rockstar_Games
2,Grand_Theft_Auto_III
3,Rockstar_North
4,Grand_Theft_Auto:_San_Andreas
5,Manhunt_(video_game)
6,Grand_Theft_Auto
7,Grand_Theft_Auto_IV
8,Trevor_Philips
9,Niko_Bellic
10,Red_Dead_Redemption
11,Grand_Theft_Auto:_Chinatown_Wars
12,List_of_games_by_Rockstar_Games
13,Development_of_Grand_Theft_Auto_V
14,Grand_Theft_Auto_Online
15,Controversies_surrounding_Grand_Theft_Auto_V
16,Music_of_Grand_Theft_Auto_V
17,Soundtracks_of_Grand_Theft_Auto:_San_Andreas
18,Grand_Theft_Auto:_The_Trilogy_–_The_Definitive_Edition
19,Untitled_Grand_Theft_Auto_game
