,related titles
0,Rhythm_game
1,RedOctane
2,Guitar_Hero_(video_game)
3,Guitar_Hero_II
4,Guitar_Hero_Encore:_Rocks_the_80s
5,Rock_Band_(video_game)
6,Guitar_Hero_III:_Legends_of_Rock
7,Guitar_Hero_World_Tour
8,Band_Hero
9,Guitar_Hero:_Aerosmith
10,Rock_Band_2
11,Guitar_Hero:_Metallica
12,Rock_Band
13,List_of_songs_in_Guitar_Hero_World_Tour
14,Guitar_Hero_5
15,Guitar_Hero_Smash_Hits
16,Cultural_impact_of_the_Guitar_Hero_series
17,List_of_songs_in_Guitar_Hero_5
18,Guitar_Hero:_Warriors_of_Rock
19,List_of_songs_in_Guitar_Hero:_Warriors_of_Rock
