,related titles
0,Kingdom_Hearts_(video_game)
1,Sora_(Kingdom_Hearts)
2,Riku_(Kingdom_Hearts)
3,Kingdom_Hearts:_Chain_of_Memories
4,Xehanort
5,Kingdom_Hearts_II
6,Organization_XIII
7,Characters_of_Kingdom_Hearts
8,Roxas_(Kingdom_Hearts)
9,Universe_of_Kingdom_Hearts
10,Kingdom_Hearts_III
11,Aqua_(Kingdom_Hearts)
12,Terra_(Kingdom_Hearts)
13,Kingdom_Hearts_Birth_by_Sleep
14,Kingdom_Hearts_358/2_Days
15,Kingdom_Hearts_Coded
16,Ventus_(Kingdom_Hearts)
17,Kingdom_Hearts_3D:_Dream_Drop_Distance
18,Kingdom_Hearts_χ
19,Kingdom_Hearts:_Melody_of_Memory
