,related titles
0,Esports
1,Riot_Games
2,Multiplayer_online_battle_arena
3,League_of_Legends_World_Championship
4,League_Championship_Series_(esports)
5,Faker_(gamer)
6,League_of_Legends_European_Championship
7,MonteCristo
8,Arena_of_Valor
9,Mobile_Legends:_Bang_Bang
10,League_of_Legends_in_esports
11,Tyler1
12,Jinx_(League_of_Legends)
13,Teamfight_Tactics
14,Legends_of_Runeterra
15,League_of_Legends:_Wild_Rift
16,Valorant
17,All_Out_(EP)
18,2019_League_of_Legends_World_Championship_Final
19,List_of_League_of_Legends_media
