,related titles
0,Mass_Effect_(video_game)
1,Commander_Shepard
2,Mass_Effect_3
3,Ashley_Williams_(Mass_Effect)
4,Mass_Effect
5,Mass_Effect_2:_Arrival
6,Illusive_Man
7,Garrus_Vakarian
8,Urdnot_Wrex
9,Thane_Krios
10,Mordin_Solus
11,Legion_(Mass_Effect)
12,Mass_Effect_2:_Lair_of_the_Shadow_Broker
13,Tali'Zorah
14,Mass_Effect_2:_Overlord
15,Mass_Effect_2:_Kasumi_–_Stolen_Memory
16,Mass_Effect_3:_Citadel
17,Mass_Effect_Legendary_Edition
18,Mass_Effect_3:_From_Ashes
19,Controversies_surrounding_Mass_Effect_3
