,related titles
0,Max_Payne_(video_game)
1,Sixth_generation_of_video_game_consoles
2,Max_Payne_2:_The_Fall_of_Max_Payne
3,Remedy_Entertainment
4,Halo_(franchise)
5,Grand_Theft_Auto
6,Max_Payne_3
7,Alan_Wake
8,Bully_(video_game)
9,List_of_Xbox_games_compatible_with_Xbox_360
10,Rockstar_New_England
11,Rockstar_Vancouver
12,Rockstar_Advanced_Game_Engine
13,Mona_Sax
14,Call_of_Duty
15,Max_Payne_(film)
16,List_of_games_by_Rockstar_Games
17,Max_Payne_(character)
18,Grand_Theft_Auto_V
19,Grid_(series)
