,related titles
0,Infinity_Ward
1,Insaniquarium
2,PopCap_Games
3,List_of_video_games_notable_for_negative_reception
4,Glu_Mobile
5,Call_of_Duty
6,Frostbite_(game_engine)
7,The_Sims
8,Respawn_Entertainment
9,Plants_vs._Zombies_(video_game)
10,Plants_vs._Zombies:_Garden_Warfare
11,Plants_vs._Zombies_2
12,Peggle_2
13,EA_Play
14,Plants_vs._Zombies:_Garden_Warfare_2
15,Plants_vs._Zombies_Heroes
16,Plants_vs._Zombies:_Battle_for_Neighborville
17,List_of_Electronic_Arts_games:_2010–2019
18,Octogeddon
19,George_Fan
