,related titles
0,Rockstar_Games
1,Grand_Theft_Auto_III
2,Manhunt_(video_game)
3,Red_Dead_Revolver
4,Rockstar_San_Diego
5,Grand_Theft_Auto_IV
6,Rockstar_Games_Presents_Table_Tennis
7,Rockstar_Advanced_Game_Engine
8,Red_Dead
9,Grand_Theft_Auto_V
10,Development_of_Grand_Theft_Auto_V
11,Development_of_Red_Dead_Redemption
12,Undead_Nightmare
13,Red_Dead_Redemption_2
14,Woody_Jackson
15,John_Marston_(Red_Dead)
16,Red_Dead_Online
17,List_of_accolades_received_by_Red_Dead_Redemption_2
18,Development_of_Red_Dead_Redemption_2
19,Grand_Theft_Auto:_The_Trilogy_–_The_Definitive_Edition
