,related titles
0,Guitar_Hero
1,Rock_Band_(video_game)
2,Guitar_Hero_World_Tour
3,List_of_songs_in_Rock_Band
4,Rock_Revolution
5,List_of_songs_in_Rock_Band_2
6,2009_in_downloadable_songs_for_the_Rock_Band_series
7,List_of_Rock_Band_track_packs
8,Rock_Band
9,List_of_songs_in_Guitar_Hero_World_Tour
10,Green_Day:_Rock_Band
11,List_of_songs_in_The_Beatles:_Rock_Band
12,2008_in_downloadable_songs_for_the_Rock_Band_series
13,List_of_downloadable_songs_for_the_Rock_Band_series
14,2010_in_downloadable_songs_for_the_Rock_Band_series
15,Rock_Band_3
16,List_of_Rock_Band_Network_1.0_songs
17,List_of_Rock_Band_Network_2.0_songs
18,2012_in_downloadable_songs_for_the_Rock_Band_series
19,List_of_Rock_Band_Network_songs
