,related titles
0,Harmonix
1,Rhythm_game
2,Guitar_Hero
3,Rock_Band_(video_game)
4,Guitar_Hero_World_Tour
5,List_of_songs_in_Rock_Band
6,Rock_Revolution
7,Rock_Band_2
8,2009_in_downloadable_songs_for_the_Rock_Band_series
9,The_Beatles:_Rock_Band
10,Rock_Band_Unplugged
11,Green_Day:_Rock_Band
12,List_of_songs_in_Guitar_Hero_5
13,List_of_songs_in_The_Beatles:_Rock_Band
14,2010_in_downloadable_songs_for_the_Rock_Band_series
15,Rock_Band_3
16,2011_in_downloadable_songs_for_the_Rock_Band_series
17,2012_in_downloadable_songs_for_the_Rock_Band_series
18,2013_in_downloadable_songs_for_the_Rock_Band_series
19,Rock_Band_4
