,related titles
0,Ico
1,Sixth_generation_of_video_game_consoles
2,2005_in_video_games
3,Ratchet:_Deadlocked
4,Spiritual_successor
5,Fumito_Ueda
6,Remote_Play
7,Kenji_Kaido
8,Team_Ico
9,God_of_War_(franchise)
10,Japan_Studio
11,Bluepoint_Games
12,The_Last_Guardian
13,High-definition_remasters_for_PlayStation_consoles
14,The_Ico_&_Shadow_of_the_Colossus_Collection
15,God_of_War_video_game_collections
16,Uncharted:_The_Nathan_Drake_Collection
17,Shadow_of_the_Colossus_(2018_video_game)
18,Jett:_The_Far_Shore
19,List_of_cancelled_PlayStation_video_games
