,related titles
0,Survival_horror
1,Silent_Hill
2,Castlevania:_Rondo_of_Blood
3,Yoshiki_Okamoto
4,List_of_Silent_Hill_series_characters
5,Pyramid_Head
6,Silent_Hill_(video_game)
7,Silent_Hill_3
8,Silent_Hill_4:_The_Room
9,Silent_Hill:_Homecoming
10,Silent_Hill:_Origins
11,Team_Silent
12,Silent_Hill:_The_Arcade
13,Silent_Hill:_Shattered_Memories
14,List_of_Silent_Hill_media
15,Silent_Hill:_Downpour
16,Silent_Hill:_Book_of_Memories
17,Silent_Hill_HD_Collection
18,Silent_Hills
19,P.T._(video_game)
