,related titles
0,Chrono_Trigger
1,Final_Fantasy_IV
2,Final_Fantasy_V
3,Dragon_Quest
4,Dragon_Quest_IV
5,Rad_Racer
6,Kingdom_Hearts:_Chain_of_Memories
7,Mario_Hoops_3-on-3
8,Kingdom_Hearts
9,Final_Fantasy_Fables:_Chocobo_Tales
10,Dragon_Warrior_Monsters_2
11,Final_Fantasy_IV_(2007_video_game)
12,Final_Fantasy_Fables:_Chocobo's_Dungeon
13,Kingdom_Hearts_358/2_Days
14,Kingdom_Hearts_Coded
15,5th_Cell
16,Kingdom_Hearts_3D:_Dream_Drop_Distance
17,Theatrhythm_Final_Fantasy
18,Neo:_The_World_Ends_with_You
19,Final_Fantasy_III_(2006_video_game)
