,related titles
0,Tony_Hawk's_Pro_Skater_(video_game)
1,Tony_Hawk's_Underground
2,Tony_Hawk's_Pro_Skater_2
3,Tony_Hawk's_Pro_Skater_4
4,Madden_NFL_2002
5,Aggressive_Inline_(video_game)
6,Mat_Hoffman's_Pro_BMX_2
7,Tony_Hawk's_American_Sk8land
8,Tony_Hawk's_Downhill_Jam
9,Tony_Hawk's_Project_8
10,Disney's_Extreme_Skate_Adventure
11,Kelly_Slater's_Pro_Surfer
12,Mat_Hoffman's_Pro_BMX
13,Evolution_Skateboarding
14,Tony_Hawk's_Pro_Skater_2x
15,MLB_Slugfest_20-03
16,Tony_Hawk's_(series)
17,Tony_Hawk's_Pro_Skater_5
18,Tony_Hawk's_Proving_Ground
19,Tony_Hawk's_Underground_2:_Remix
