,related titles
0,Blizzard_Entertainment
1,Warcraft:_Orcs_&_Humans
2,Warcraft
3,Warcraft_II:_Beyond_the_Dark_Portal
4,World_of_Warcraft:_The_Burning_Crusade
5,Corrupted_Blood_incident
6,World_of_Warcraft_Trading_Card_Game
7,Leeroy_Jenkins
8,World_of_Warcraft:_Wrath_of_the_Lich_King
9,Gameplay_of_World_of_Warcraft
10,Illidan_Stormrage
11,World_of_Warcraft:_Cataclysm
12,Wowpedia
13,World_of_Warcraft:_Mists_of_Pandaria
14,World_of_Warcraft:_Warlords_of_Draenor
15,Azeroth_Choppers
16,World_of_Warcraft:_Legion
17,World_of_Warcraft:_Battle_for_Azeroth
18,World_of_Warcraft_Classic
19,Thrall_(Warcraft)
