,related titles
0,Monolith_Soft
1,Tetsuya_Takahashi
2,Super_Smash_Bros.
3,Yasuyuki_Honne
4,List_of_Wii_games_with_traditional_control_schemes
5,Xenoblade_Chronicles_(video_game)
6,Super_Smash_Bros._for_Nintendo_3DS_and_Wii_U
7,Adam_Howden
8,Shulk
9,Xeno_(series)
10,Xenoblade_Chronicles_X
11,Chrom
12,Lucina_(Fire_Emblem)
13,Lin_Lee
14,Xenoblade_Chronicles_2
15,Super_Smash_Bros._Ultimate
16,Xenoblade_Chronicles_2:_Torna_–_The_Golden_Country
17,Wii_Fit_Trainer
18,Bayonetta
19,Xenoblade_Chronicles_3
