,related titles
0,Viewtiful_Joe_(video_game)
1,Viewtiful_Joe_2
2,Resident_Evil_4
3,The_Legend_of_Zelda:_Twilight_Princess
4,Clover_Studio
5,2006_in_video_games
6,Capcom_Five
7,Viewtiful_Joe_(character)
8,Resident_Evil:_The_Umbrella_Chronicles
9,Atsushi_Inaba
10,Hideki_Kamiya
11,PlatinumGames
12,Seventh_generation_of_video_game_consoles
13,Devil_May_Cry_(video_game)
14,Bayonetta_(video_game)
15,Ōkamiden
16,Resident_Evil_(2002_video_game)
17,Amaterasu_(Ōkami)
18,List_of_Capcom_games:_N–R
19,Viewtiful_Joe
