project,article,granularity,timestamp,access,agent,views
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-01,all-access,all-agents,943
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-02,all-access,all-agents,876
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-03,all-access,all-agents,851
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-04,all-access,all-agents,715
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-05,all-access,all-agents,791
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-06,all-access,all-agents,974
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-07,all-access,all-agents,1001
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-08,all-access,all-agents,955
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-09,all-access,all-agents,919
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-10,all-access,all-agents,838
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-11,all-access,all-agents,733
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-12,all-access,all-agents,806
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-13,all-access,all-agents,968
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-14,all-access,all-agents,1011
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-15,all-access,all-agents,916
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-16,all-access,all-agents,907
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-17,all-access,all-agents,848
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-18,all-access,all-agents,760
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-19,all-access,all-agents,890
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-20,all-access,all-agents,981
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-21,all-access,all-agents,948
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-22,all-access,all-agents,888
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-23,all-access,all-agents,1028
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-24,all-access,all-agents,1069
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-25,all-access,all-agents,836
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-26,all-access,all-agents,945
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-27,all-access,all-agents,967
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-28,all-access,all-agents,1011
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-29,all-access,all-agents,923
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-30,all-access,all-agents,909
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-07-31,all-access,all-agents,871
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-01,all-access,all-agents,757
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-02,all-access,all-agents,817
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-03,all-access,all-agents,853
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-04,all-access,all-agents,875
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-05,all-access,all-agents,898
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-06,all-access,all-agents,1048
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-07,all-access,all-agents,842
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-08,all-access,all-agents,827
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-09,all-access,all-agents,867
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-10,all-access,all-agents,917
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-11,all-access,all-agents,1061
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-12,all-access,all-agents,935
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-13,all-access,all-agents,977
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-14,all-access,all-agents,934
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-15,all-access,all-agents,821
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-16,all-access,all-agents,949
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-17,all-access,all-agents,1076
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-18,all-access,all-agents,1032
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-19,all-access,all-agents,1060
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-20,all-access,all-agents,920
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-21,all-access,all-agents,956
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-22,all-access,all-agents,874
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-23,all-access,all-agents,1038
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-24,all-access,all-agents,1105
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-25,all-access,all-agents,1060
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-26,all-access,all-agents,978
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-27,all-access,all-agents,988
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-28,all-access,all-agents,996
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-29,all-access,all-agents,830
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-30,all-access,all-agents,1055
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-08-31,all-access,all-agents,1185
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-01,all-access,all-agents,1096
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-02,all-access,all-agents,1068
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-03,all-access,all-agents,972
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-04,all-access,all-agents,947
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-05,all-access,all-agents,796
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-06,all-access,all-agents,851
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-07,all-access,all-agents,958
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-08,all-access,all-agents,1060
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-09,all-access,all-agents,1064
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-10,all-access,all-agents,1054
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-11,all-access,all-agents,970
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-12,all-access,all-agents,714
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-13,all-access,all-agents,837
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-14,all-access,all-agents,975
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-15,all-access,all-agents,955
en.wikipedia,A_Thousand_Splendid_Suns,daily,2015-09-16,all-access,all-agents,926
