project,article,granularity,timestamp,access,agent,views
en.wikipedia,Brave_New_World,daily,2015-07-01,all-access,all-agents,3175
en.wikipedia,Brave_New_World,daily,2015-07-02,all-access,all-agents,3138
en.wikipedia,Brave_New_World,daily,2015-07-03,all-access,all-agents,2670
en.wikipedia,Brave_New_World,daily,2015-07-04,all-access,all-agents,2418
en.wikipedia,Brave_New_World,daily,2015-07-05,all-access,all-agents,2522
en.wikipedia,Brave_New_World,daily,2015-07-06,all-access,all-agents,3232
en.wikipedia,Brave_New_World,daily,2015-07-07,all-access,all-agents,3085
en.wikipedia,Brave_New_World,daily,2015-07-08,all-access,all-agents,3286
en.wikipedia,Brave_New_World,daily,2015-07-09,all-access,all-agents,4270
en.wikipedia,Brave_New_World,daily,2015-07-10,all-access,all-agents,3282
en.wikipedia,Brave_New_World,daily,2015-07-11,all-access,all-agents,2677
en.wikipedia,Brave_New_World,daily,2015-07-12,all-access,all-agents,2784
en.wikipedia,Brave_New_World,daily,2015-07-13,all-access,all-agents,3337
en.wikipedia,Brave_New_World,daily,2015-07-14,all-access,all-agents,3120
en.wikipedia,Brave_New_World,daily,2015-07-15,all-access,all-agents,3121
en.wikipedia,Brave_New_World,daily,2015-07-16,all-access,all-agents,2989
en.wikipedia,Brave_New_World,daily,2015-07-17,all-access,all-agents,2841
en.wikipedia,Brave_New_World,daily,2015-07-18,all-access,all-agents,2476
en.wikipedia,Brave_New_World,daily,2015-07-19,all-access,all-agents,3037
en.wikipedia,Brave_New_World,daily,2015-07-20,all-access,all-agents,3108
en.wikipedia,Brave_New_World,daily,2015-07-21,all-access,all-agents,3183
en.wikipedia,Brave_New_World,daily,2015-07-22,all-access,all-agents,3195
en.wikipedia,Brave_New_World,daily,2015-07-23,all-access,all-agents,3115
en.wikipedia,Brave_New_World,daily,2015-07-24,all-access,all-agents,3098
en.wikipedia,Brave_New_World,daily,2015-07-25,all-access,all-agents,2563
en.wikipedia,Brave_New_World,daily,2015-07-26,all-access,all-agents,3548
en.wikipedia,Brave_New_World,daily,2015-07-27,all-access,all-agents,4258
en.wikipedia,Brave_New_World,daily,2015-07-28,all-access,all-agents,3760
en.wikipedia,Brave_New_World,daily,2015-07-29,all-access,all-agents,3265
en.wikipedia,Brave_New_World,daily,2015-07-30,all-access,all-agents,3212
en.wikipedia,Brave_New_World,daily,2015-07-31,all-access,all-agents,2935
en.wikipedia,Brave_New_World,daily,2015-08-01,all-access,all-agents,2639
en.wikipedia,Brave_New_World,daily,2015-08-02,all-access,all-agents,2741
en.wikipedia,Brave_New_World,daily,2015-08-03,all-access,all-agents,2748
en.wikipedia,Brave_New_World,daily,2015-08-04,all-access,all-agents,3235
en.wikipedia,Brave_New_World,daily,2015-08-05,all-access,all-agents,3052
en.wikipedia,Brave_New_World,daily,2015-08-06,all-access,all-agents,2958
en.wikipedia,Brave_New_World,daily,2015-08-07,all-access,all-agents,2913
