project,article,granularity,timestamp,access,agent,views
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-01,all-access,all-agents,1239
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-02,all-access,all-agents,1364
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-03,all-access,all-agents,1429
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-04,all-access,all-agents,1231
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-05,all-access,all-agents,1198
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-06,all-access,all-agents,1316
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-07,all-access,all-agents,1608
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-08,all-access,all-agents,1804
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-09,all-access,all-agents,1748
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-10,all-access,all-agents,1373
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-11,all-access,all-agents,1257
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-12,all-access,all-agents,1272
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-13,all-access,all-agents,1388
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-14,all-access,all-agents,1386
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-15,all-access,all-agents,1338
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-16,all-access,all-agents,1774
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-17,all-access,all-agents,1570
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-18,all-access,all-agents,1239
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-19,all-access,all-agents,1444
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-20,all-access,all-agents,1486
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-21,all-access,all-agents,1954
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-22,all-access,all-agents,1659
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-23,all-access,all-agents,1589
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-24,all-access,all-agents,1360
en.wikipedia,For_Whom_the_Bell_Tolls,daily,2015-07-25,all-access,all-agents,1269
