project,article,granularity,timestamp,access,agent,views
en.wikipedia,Frankenstein,daily,2015-07-01,all-access,all-agents,2883
en.wikipedia,Frankenstein,daily,2015-07-02,all-access,all-agents,2741
en.wikipedia,Frankenstein,daily,2015-07-03,all-access,all-agents,2666
en.wikipedia,Frankenstein,daily,2015-07-04,all-access,all-agents,2457
en.wikipedia,Frankenstein,daily,2015-07-05,all-access,all-agents,3145
en.wikipedia,Frankenstein,daily,2015-07-06,all-access,all-agents,3589
en.wikipedia,Frankenstein,daily,2015-07-07,all-access,all-agents,3514
en.wikipedia,Frankenstein,daily,2015-07-08,all-access,all-agents,3193
en.wikipedia,Frankenstein,daily,2015-07-09,all-access,all-agents,3614
en.wikipedia,Frankenstein,daily,2015-07-10,all-access,all-agents,3564
en.wikipedia,Frankenstein,daily,2015-07-11,all-access,all-agents,3317
en.wikipedia,Frankenstein,daily,2015-07-12,all-access,all-agents,3158
en.wikipedia,Frankenstein,daily,2015-07-13,all-access,all-agents,3574
en.wikipedia,Frankenstein,daily,2015-07-14,all-access,all-agents,3232
en.wikipedia,Frankenstein,daily,2015-07-15,all-access,all-agents,3116
en.wikipedia,Frankenstein,daily,2015-07-16,all-access,all-agents,3119
en.wikipedia,Frankenstein,daily,2015-07-17,all-access,all-agents,2792
en.wikipedia,Frankenstein,daily,2015-07-18,all-access,all-agents,2768
en.wikipedia,Frankenstein,daily,2015-07-19,all-access,all-agents,2754
en.wikipedia,Frankenstein,daily,2015-07-20,all-access,all-agents,3216
en.wikipedia,Frankenstein,daily,2015-07-21,all-access,all-agents,3036
en.wikipedia,Frankenstein,daily,2015-07-22,all-access,all-agents,3006
en.wikipedia,Frankenstein,daily,2015-07-23,all-access,all-agents,2730
en.wikipedia,Frankenstein,daily,2015-07-24,all-access,all-agents,2643
en.wikipedia,Frankenstein,daily,2015-07-25,all-access,all-agents,2476
en.wikipedia,Frankenstein,daily,2015-07-26,all-access,all-agents,2872
en.wikipedia,Frankenstein,daily,2015-07-27,all-access,all-agents,3222
en.wikipedia,Frankenstein,daily,2015-07-28,all-access,all-agents,2953
en.wikipedia,Frankenstein,daily,2015-07-29,all-access,all-agents,3156
en.wikipedia,Frankenstein,daily,2015-07-30,all-access,all-agents,2755
en.wikipedia,Frankenstein,daily,2015-07-31,all-access,all-agents,2640
en.wikipedia,Frankenstein,daily,2015-08-01,all-access,all-agents,3410
en.wikipedia,Frankenstein,daily,2015-08-02,all-access,all-agents,3045
en.wikipedia,Frankenstein,daily,2015-08-03,all-access,all-agents,2828
en.wikipedia,Frankenstein,daily,2015-08-04,all-access,all-agents,3078
en.wikipedia,Frankenstein,daily,2015-08-05,all-access,all-agents,2943
en.wikipedia,Frankenstein,daily,2015-08-06,all-access,all-agents,3009
en.wikipedia,Frankenstein,daily,2015-08-07,all-access,all-agents,4622
en.wikipedia,Frankenstein,daily,2015-08-08,all-access,all-agents,3610
en.wikipedia,Frankenstein,daily,2015-08-09,all-access,all-agents,2937
en.wikipedia,Frankenstein,daily,2015-08-10,all-access,all-agents,2942
en.wikipedia,Frankenstein,daily,2015-08-11,all-access,all-agents,3106
en.wikipedia,Frankenstein,daily,2015-08-12,all-access,all-agents,2936
en.wikipedia,Frankenstein,daily,2015-08-13,all-access,all-agents,3024
en.wikipedia,Frankenstein,daily,2015-08-14,all-access,all-agents,2902
en.wikipedia,Frankenstein,daily,2015-08-15,all-access,all-agents,2713
en.wikipedia,Frankenstein,daily,2015-08-16,all-access,all-agents,3464
en.wikipedia,Frankenstein,daily,2015-08-17,all-access,all-agents,3283
en.wikipedia,Frankenstein,daily,2015-08-18,all-access,all-agents,6359
en.wikipedia,Frankenstein,daily,2015-08-19,all-access,all-agents,6854
en.wikipedia,Frankenstein,daily,2015-08-20,all-access,all-agents,4711
en.wikipedia,Frankenstein,daily,2015-08-21,all-access,all-agents,5820
en.wikipedia,Frankenstein,daily,2015-08-22,all-access,all-agents,4362
en.wikipedia,Frankenstein,daily,2015-08-23,all-access,all-agents,4004
en.wikipedia,Frankenstein,daily,2015-08-24,all-access,all-agents,4086
en.wikipedia,Frankenstein,daily,2015-08-25,all-access,all-agents,4056
en.wikipedia,Frankenstein,daily,2015-08-26,all-access,all-agents,3864
en.wikipedia,Frankenstein,daily,2015-08-27,all-access,all-agents,3739
en.wikipedia,Frankenstein,daily,2015-08-28,all-access,all-agents,3457
en.wikipedia,Frankenstein,daily,2015-08-29,all-access,all-agents,3008
en.wikipedia,Frankenstein,daily,2015-08-30,all-access,all-agents,4331
en.wikipedia,Frankenstein,daily,2015-08-31,all-access,all-agents,4170
en.wikipedia,Frankenstein,daily,2015-09-01,all-access,all-agents,4004
en.wikipedia,Frankenstein,daily,2015-09-02,all-access,all-agents,4055
en.wikipedia,Frankenstein,daily,2015-09-03,all-access,all-agents,4033
en.wikipedia,Frankenstein,daily,2015-09-04,all-access,all-agents,3533
en.wikipedia,Frankenstein,daily,2015-09-05,all-access,all-agents,3143
en.wikipedia,Frankenstein,daily,2015-09-06,all-access,all-agents,3813
en.wikipedia,Frankenstein,daily,2015-09-07,all-access,all-agents,4096
en.wikipedia,Frankenstein,daily,2015-09-08,all-access,all-agents,4844
en.wikipedia,Frankenstein,daily,2015-09-09,all-access,all-agents,4533
en.wikipedia,Frankenstein,daily,2015-09-10,all-access,all-agents,4611
en.wikipedia,Frankenstein,daily,2015-09-11,all-access,all-agents,3856
en.wikipedia,Frankenstein,daily,2015-09-12,all-access,all-agents,3337
en.wikipedia,Frankenstein,daily,2015-09-13,all-access,all-agents,4210
en.wikipedia,Frankenstein,daily,2015-09-14,all-access,all-agents,4614
en.wikipedia,Frankenstein,daily,2015-09-15,all-access,all-agents,4481
en.wikipedia,Frankenstein,daily,2015-09-16,all-access,all-agents,4586
en.wikipedia,Frankenstein,daily,2015-09-17,all-access,all-agents,4466
en.wikipedia,Frankenstein,daily,2015-09-18,all-access,all-agents,4116
en.wikipedia,Frankenstein,daily,2015-09-19,all-access,all-agents,4013
en.wikipedia,Frankenstein,daily,2015-09-20,all-access,all-agents,4664
en.wikipedia,Frankenstein,daily,2015-09-21,all-access,all-agents,5066
en.wikipedia,Frankenstein,daily,2015-09-22,all-access,all-agents,4797
en.wikipedia,Frankenstein,daily,2015-09-23,all-access,all-agents,4691
en.wikipedia,Frankenstein,daily,2015-09-24,all-access,all-agents,4496
en.wikipedia,Frankenstein,daily,2015-09-25,all-access,all-agents,4436
en.wikipedia,Frankenstein,daily,2015-09-26,all-access,all-agents,3629
en.wikipedia,Frankenstein,daily,2015-09-27,all-access,all-agents,4722
en.wikipedia,Frankenstein,daily,2015-09-28,all-access,all-agents,5098
en.wikipedia,Frankenstein,daily,2015-09-29,all-access,all-agents,4799
en.wikipedia,Frankenstein,daily,2015-09-30,all-access,all-agents,4749
en.wikipedia,Frankenstein,daily,2015-10-01,all-access,all-agents,4635
en.wikipedia,Frankenstein,daily,2015-10-02,all-access,all-agents,4567
en.wikipedia,Frankenstein,daily,2015-10-03,all-access,all-agents,3963
en.wikipedia,Frankenstein,daily,2015-10-04,all-access,all-agents,4500
en.wikipedia,Frankenstein,daily,2015-10-05,all-access,all-agents,6016
en.wikipedia,Frankenstein,daily,2015-10-06,all-access,all-agents,5320
en.wikipedia,Frankenstein,daily,2015-10-07,all-access,all-agents,5418
en.wikipedia,Frankenstein,daily,2015-10-08,all-access,all-agents,5185
en.wikipedia,Frankenstein,daily,2015-10-09,all-access,all-agents,4782
en.wikipedia,Frankenstein,daily,2015-10-10,all-access,all-agents,4134
en.wikipedia,Frankenstein,daily,2015-10-11,all-access,all-agents,4571
en.wikipedia,Frankenstein,daily,2015-10-12,all-access,all-agents,7881
en.wikipedia,Frankenstein,daily,2015-10-13,all-access,all-agents,6999
en.wikipedia,Frankenstein,daily,2015-10-14,all-access,all-agents,6133
en.wikipedia,Frankenstein,daily,2015-10-15,all-access,all-agents,6071
en.wikipedia,Frankenstein,daily,2015-10-16,all-access,all-agents,5440
en.wikipedia,Frankenstein,daily,2015-10-17,all-access,all-agents,4935
en.wikipedia,Frankenstein,daily,2015-10-18,all-access,all-agents,6533
en.wikipedia,Frankenstein,daily,2015-10-19,all-access,all-agents,6998
en.wikipedia,Frankenstein,daily,2015-10-20,all-access,all-agents,6206
en.wikipedia,Frankenstein,daily,2015-10-21,all-access,all-agents,6251
en.wikipedia,Frankenstein,daily,2015-10-22,all-access,all-agents,6249
en.wikipedia,Frankenstein,daily,2015-10-23,all-access,all-agents,5918
en.wikipedia,Frankenstein,daily,2015-10-24,all-access,all-agents,5407
en.wikipedia,Frankenstein,daily,2015-10-25,all-access,all-agents,6004
en.wikipedia,Frankenstein,daily,2015-10-26,all-access,all-agents,7485
en.wikipedia,Frankenstein,daily,2015-10-27,all-access,all-agents,7708
en.wikipedia,Frankenstein,daily,2015-10-28,all-access,all-agents,8574
en.wikipedia,Frankenstein,daily,2015-10-29,all-access,all-agents,8725
en.wikipedia,Frankenstein,daily,2015-10-30,all-access,all-agents,9856
en.wikipedia,Frankenstein,daily,2015-10-31,all-access,all-agents,9915
en.wikipedia,Frankenstein,daily,2015-11-01,all-access,all-agents,10102
en.wikipedia,Frankenstein,daily,2015-11-02,all-access,all-agents,7435
en.wikipedia,Frankenstein,daily,2015-11-03,all-access,all-agents,7458
en.wikipedia,Frankenstein,daily,2015-11-04,all-access,all-agents,6067
en.wikipedia,Frankenstein,daily,2015-11-05,all-access,all-agents,5903
en.wikipedia,Frankenstein,daily,2015-11-06,all-access,all-agents,5464
en.wikipedia,Frankenstein,daily,2015-11-07,all-access,all-agents,5214
en.wikipedia,Frankenstein,daily,2015-11-08,all-access,all-agents,6822
en.wikipedia,Frankenstein,daily,2015-11-09,all-access,all-agents,7932
en.wikipedia,Frankenstein,daily,2015-11-10,all-access,all-agents,6728
en.wikipedia,Frankenstein,daily,2015-11-11,all-access,all-agents,5746
en.wikipedia,Frankenstein,daily,2015-11-12,all-access,all-agents,6263
en.wikipedia,Frankenstein,daily,2015-11-13,all-access,all-agents,5147
en.wikipedia,Frankenstein,daily,2015-11-14,all-access,all-agents,4413
en.wikipedia,Frankenstein,daily,2015-11-15,all-access,all-agents,5489
en.wikipedia,Frankenstein,daily,2015-11-16,all-access,all-agents,5660
en.wikipedia,Frankenstein,daily,2015-11-17,all-access,all-agents,5650
en.wikipedia,Frankenstein,daily,2015-11-18,all-access,all-agents,5480
en.wikipedia,Frankenstein,daily,2015-11-19,all-access,all-agents,5795
en.wikipedia,Frankenstein,daily,2015-11-20,all-access,all-agents,5332
en.wikipedia,Frankenstein,daily,2015-11-21,all-access,all-agents,4427
en.wikipedia,Frankenstein,daily,2015-11-22,all-access,all-agents,5770
en.wikipedia,Frankenstein,daily,2015-11-23,all-access,all-agents,6161
en.wikipedia,Frankenstein,daily,2015-11-24,all-access,all-agents,6369
en.wikipedia,Frankenstein,daily,2015-11-25,all-access,all-agents,6755
en.wikipedia,Frankenstein,daily,2015-11-26,all-access,all-agents,6493
en.wikipedia,Frankenstein,daily,2015-11-27,all-access,all-agents,6674
en.wikipedia,Frankenstein,daily,2015-11-28,all-access,all-agents,7215
en.wikipedia,Frankenstein,daily,2015-11-29,all-access,all-agents,7920
