project,article,granularity,timestamp,access,agent,views
en.wikipedia,Gilead,daily,2015-07-01,all-access,all-agents,336
en.wikipedia,Gilead,daily,2015-07-02,all-access,all-agents,339
en.wikipedia,Gilead,daily,2015-07-03,all-access,all-agents,290
en.wikipedia,Gilead,daily,2015-07-04,all-access,all-agents,291
en.wikipedia,Gilead,daily,2015-07-05,all-access,all-agents,363
en.wikipedia,Gilead,daily,2015-07-06,all-access,all-agents,417
en.wikipedia,Gilead,daily,2015-07-07,all-access,all-agents,323
en.wikipedia,Gilead,daily,2015-07-08,all-access,all-agents,313
en.wikipedia,Gilead,daily,2015-07-09,all-access,all-agents,348
en.wikipedia,Gilead,daily,2015-07-10,all-access,all-agents,333
en.wikipedia,Gilead,daily,2015-07-11,all-access,all-agents,327
en.wikipedia,Gilead,daily,2015-07-12,all-access,all-agents,363
en.wikipedia,Gilead,daily,2015-07-13,all-access,all-agents,388
en.wikipedia,Gilead,daily,2015-07-14,all-access,all-agents,360
en.wikipedia,Gilead,daily,2015-07-15,all-access,all-agents,389
en.wikipedia,Gilead,daily,2015-07-16,all-access,all-agents,417
en.wikipedia,Gilead,daily,2015-07-17,all-access,all-agents,332
en.wikipedia,Gilead,daily,2015-07-18,all-access,all-agents,266
en.wikipedia,Gilead,daily,2015-07-19,all-access,all-agents,330
en.wikipedia,Gilead,daily,2015-07-20,all-access,all-agents,357
en.wikipedia,Gilead,daily,2015-07-21,all-access,all-agents,367
en.wikipedia,Gilead,daily,2015-07-22,all-access,all-agents,403
en.wikipedia,Gilead,daily,2015-07-23,all-access,all-agents,382
en.wikipedia,Gilead,daily,2015-07-24,all-access,all-agents,376
en.wikipedia,Gilead,daily,2015-07-25,all-access,all-agents,371
en.wikipedia,Gilead,daily,2015-07-26,all-access,all-agents,692
en.wikipedia,Gilead,daily,2015-07-27,all-access,all-agents,566
en.wikipedia,Gilead,daily,2015-07-28,all-access,all-agents,463
en.wikipedia,Gilead,daily,2015-07-29,all-access,all-agents,384
en.wikipedia,Gilead,daily,2015-07-30,all-access,all-agents,404
en.wikipedia,Gilead,daily,2015-07-31,all-access,all-agents,367
en.wikipedia,Gilead,daily,2015-08-01,all-access,all-agents,299
en.wikipedia,Gilead,daily,2015-08-02,all-access,all-agents,345
en.wikipedia,Gilead,daily,2015-08-03,all-access,all-agents,341
en.wikipedia,Gilead,daily,2015-08-04,all-access,all-agents,344
en.wikipedia,Gilead,daily,2015-08-05,all-access,all-agents,388
en.wikipedia,Gilead,daily,2015-08-06,all-access,all-agents,343
en.wikipedia,Gilead,daily,2015-08-07,all-access,all-agents,328
en.wikipedia,Gilead,daily,2015-08-08,all-access,all-agents,259
en.wikipedia,Gilead,daily,2015-08-09,all-access,all-agents,337
en.wikipedia,Gilead,daily,2015-08-10,all-access,all-agents,352
en.wikipedia,Gilead,daily,2015-08-11,all-access,all-agents,348
en.wikipedia,Gilead,daily,2015-08-12,all-access,all-agents,373
en.wikipedia,Gilead,daily,2015-08-13,all-access,all-agents,338
en.wikipedia,Gilead,daily,2015-08-14,all-access,all-agents,303
en.wikipedia,Gilead,daily,2015-08-15,all-access,all-agents,312
en.wikipedia,Gilead,daily,2015-08-16,all-access,all-agents,296
en.wikipedia,Gilead,daily,2015-08-17,all-access,all-agents,376
en.wikipedia,Gilead,daily,2015-08-18,all-access,all-agents,364
en.wikipedia,Gilead,daily,2015-08-19,all-access,all-agents,334
en.wikipedia,Gilead,daily,2015-08-20,all-access,all-agents,453
en.wikipedia,Gilead,daily,2015-08-21,all-access,all-agents,343
en.wikipedia,Gilead,daily,2015-08-22,all-access,all-agents,296
en.wikipedia,Gilead,daily,2015-08-23,all-access,all-agents,343
en.wikipedia,Gilead,daily,2015-08-24,all-access,all-agents,413
en.wikipedia,Gilead,daily,2015-08-25,all-access,all-agents,403
en.wikipedia,Gilead,daily,2015-08-26,all-access,all-agents,403
en.wikipedia,Gilead,daily,2015-08-27,all-access,all-agents,412
en.wikipedia,Gilead,daily,2015-08-28,all-access,all-agents,270
en.wikipedia,Gilead,daily,2015-08-29,all-access,all-agents,282
en.wikipedia,Gilead,daily,2015-08-30,all-access,all-agents,314
en.wikipedia,Gilead,daily,2015-08-31,all-access,all-agents,346
en.wikipedia,Gilead,daily,2015-09-01,all-access,all-agents,378
en.wikipedia,Gilead,daily,2015-09-02,all-access,all-agents,414
en.wikipedia,Gilead,daily,2015-09-03,all-access,all-agents,398
en.wikipedia,Gilead,daily,2015-09-04,all-access,all-agents,389
en.wikipedia,Gilead,daily,2015-09-05,all-access,all-agents,466
en.wikipedia,Gilead,daily,2015-09-06,all-access,all-agents,579
en.wikipedia,Gilead,daily,2015-09-07,all-access,all-agents,480
en.wikipedia,Gilead,daily,2015-09-08,all-access,all-agents,554
en.wikipedia,Gilead,daily,2015-09-09,all-access,all-agents,444
en.wikipedia,Gilead,daily,2015-09-10,all-access,all-agents,435
en.wikipedia,Gilead,daily,2015-09-11,all-access,all-agents,370
en.wikipedia,Gilead,daily,2015-09-12,all-access,all-agents,286
en.wikipedia,Gilead,daily,2015-09-13,all-access,all-agents,343
