project,article,granularity,timestamp,access,agent,views
en.wikipedia,Habibi,daily,2015-07-01,all-access,all-agents,359
en.wikipedia,Habibi,daily,2015-07-02,all-access,all-agents,366
en.wikipedia,Habibi,daily,2015-07-03,all-access,all-agents,319
en.wikipedia,Habibi,daily,2015-07-04,all-access,all-agents,327
en.wikipedia,Habibi,daily,2015-07-05,all-access,all-agents,287
en.wikipedia,Habibi,daily,2015-07-06,all-access,all-agents,361
en.wikipedia,Habibi,daily,2015-07-07,all-access,all-agents,342
en.wikipedia,Habibi,daily,2015-07-08,all-access,all-agents,644
en.wikipedia,Habibi,daily,2015-07-09,all-access,all-agents,704
en.wikipedia,Habibi,daily,2015-07-10,all-access,all-agents,701
en.wikipedia,Habibi,daily,2015-07-11,all-access,all-agents,612
en.wikipedia,Habibi,daily,2015-07-12,all-access,all-agents,651
en.wikipedia,Habibi,daily,2015-07-13,all-access,all-agents,791
en.wikipedia,Habibi,daily,2015-07-14,all-access,all-agents,744
en.wikipedia,Habibi,daily,2015-07-15,all-access,all-agents,742
en.wikipedia,Habibi,daily,2015-07-16,all-access,all-agents,741
en.wikipedia,Habibi,daily,2015-07-17,all-access,all-agents,844
en.wikipedia,Habibi,daily,2015-07-18,all-access,all-agents,732
en.wikipedia,Habibi,daily,2015-07-19,all-access,all-agents,815
en.wikipedia,Habibi,daily,2015-07-20,all-access,all-agents,853
en.wikipedia,Habibi,daily,2015-07-21,all-access,all-agents,751
en.wikipedia,Habibi,daily,2015-07-22,all-access,all-agents,743
en.wikipedia,Habibi,daily,2015-07-23,all-access,all-agents,689
en.wikipedia,Habibi,daily,2015-07-24,all-access,all-agents,750
en.wikipedia,Habibi,daily,2015-07-25,all-access,all-agents,704
en.wikipedia,Habibi,daily,2015-07-26,all-access,all-agents,768
en.wikipedia,Habibi,daily,2015-07-27,all-access,all-agents,818
en.wikipedia,Habibi,daily,2015-07-28,all-access,all-agents,765
en.wikipedia,Habibi,daily,2015-07-29,all-access,all-agents,781
en.wikipedia,Habibi,daily,2015-07-30,all-access,all-agents,806
en.wikipedia,Habibi,daily,2015-07-31,all-access,all-agents,786
en.wikipedia,Habibi,daily,2015-08-01,all-access,all-agents,719
en.wikipedia,Habibi,daily,2015-08-02,all-access,all-agents,792
en.wikipedia,Habibi,daily,2015-08-03,all-access,all-agents,730
en.wikipedia,Habibi,daily,2015-08-04,all-access,all-agents,799
en.wikipedia,Habibi,daily,2015-08-05,all-access,all-agents,756
en.wikipedia,Habibi,daily,2015-08-06,all-access,all-agents,850
en.wikipedia,Habibi,daily,2015-08-07,all-access,all-agents,796
