project,article,granularity,timestamp,access,agent,views
en.wikipedia,Ice_Candy_Man,daily,2015-07-01,all-access,all-agents,5
en.wikipedia,Ice_Candy_Man,daily,2015-07-04,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-07-06,all-access,all-agents,4
en.wikipedia,Ice_Candy_Man,daily,2015-07-07,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-07-12,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-07-14,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-07-16,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-07-18,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-07-20,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-07-24,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-07-28,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-07-30,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-08-01,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-03,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-04,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-08,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-09,all-access,all-agents,5
en.wikipedia,Ice_Candy_Man,daily,2015-08-10,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-11,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-12,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-08-13,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-08-14,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-15,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-08-18,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-08-19,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-20,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-08-21,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-25,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-08-26,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-08-27,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-30,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-08-31,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-01,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-02,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-09-06,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-09-07,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-08,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-09-11,all-access,all-agents,5
en.wikipedia,Ice_Candy_Man,daily,2015-09-17,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-09-18,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-19,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-21,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-22,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-25,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-09-27,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-01,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-03,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-10-06,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-07,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-10-09,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-10,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-12,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-13,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-10-15,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-10-17,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-10-18,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-23,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-10-24,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-26,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-29,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-10-30,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-10-31,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-01,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-03,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-05,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-06,all-access,all-agents,5
en.wikipedia,Ice_Candy_Man,daily,2015-11-07,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-11,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-12,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-14,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-15,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-11-16,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-11-17,all-access,all-agents,7
en.wikipedia,Ice_Candy_Man,daily,2015-11-18,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-22,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-23,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-24,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-25,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-11-26,all-access,all-agents,4
en.wikipedia,Ice_Candy_Man,daily,2015-11-30,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-12-01,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-02,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-04,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-12-05,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-12-06,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-07,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-08,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-12,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-16,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-12-18,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-21,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-22,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-23,all-access,all-agents,3
en.wikipedia,Ice_Candy_Man,daily,2015-12-25,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-26,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-28,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-29,all-access,all-agents,2
en.wikipedia,Ice_Candy_Man,daily,2015-12-30,all-access,all-agents,1
en.wikipedia,Ice_Candy_Man,daily,2015-12-31,all-access,all-agents,1
