project,article,granularity,timestamp,access,agent,views
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-01,all-access,all-agents,6663
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-02,all-access,all-agents,6234
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-03,all-access,all-agents,5624
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-04,all-access,all-agents,4781
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-05,all-access,all-agents,5262
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-06,all-access,all-agents,7475
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-07,all-access,all-agents,7374
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-08,all-access,all-agents,6803
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-09,all-access,all-agents,6250
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-10,all-access,all-agents,6430
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-11,all-access,all-agents,5135
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-12,all-access,all-agents,5612
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-13,all-access,all-agents,6907
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-14,all-access,all-agents,6770
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-15,all-access,all-agents,7505
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-16,all-access,all-agents,6304
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-17,all-access,all-agents,5964
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-18,all-access,all-agents,5045
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-19,all-access,all-agents,5625
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-20,all-access,all-agents,6033
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-21,all-access,all-agents,6293
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-22,all-access,all-agents,5997
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-23,all-access,all-agents,6668
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-24,all-access,all-agents,6492
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-25,all-access,all-agents,5436
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-26,all-access,all-agents,5720
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-27,all-access,all-agents,6264
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-28,all-access,all-agents,6081
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-29,all-access,all-agents,6478
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-30,all-access,all-agents,6312
en.wikipedia,Nineteen_Eighty-Four,daily,2015-07-31,all-access,all-agents,6118
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-01,all-access,all-agents,5635
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-02,all-access,all-agents,5496
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-03,all-access,all-agents,6173
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-04,all-access,all-agents,6767
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-05,all-access,all-agents,6968
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-06,all-access,all-agents,7082
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-07,all-access,all-agents,5891
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-08,all-access,all-agents,5317
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-09,all-access,all-agents,5681
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-10,all-access,all-agents,6579
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-11,all-access,all-agents,6454
en.wikipedia,Nineteen_Eighty-Four,daily,2015-08-12,all-access,all-agents,6305
