project,article,granularity,timestamp,access,agent,views
en.wikipedia,Pride_and_Prejudice,daily,2015-07-01,all-access,all-agents,4477
en.wikipedia,Pride_and_Prejudice,daily,2015-07-02,all-access,all-agents,3796
en.wikipedia,Pride_and_Prejudice,daily,2015-07-03,all-access,all-agents,3645
en.wikipedia,Pride_and_Prejudice,daily,2015-07-04,all-access,all-agents,3574
en.wikipedia,Pride_and_Prejudice,daily,2015-07-05,all-access,all-agents,4159
en.wikipedia,Pride_and_Prejudice,daily,2015-07-06,all-access,all-agents,3950
en.wikipedia,Pride_and_Prejudice,daily,2015-07-07,all-access,all-agents,3894
en.wikipedia,Pride_and_Prejudice,daily,2015-07-08,all-access,all-agents,3749
en.wikipedia,Pride_and_Prejudice,daily,2015-07-09,all-access,all-agents,3617
en.wikipedia,Pride_and_Prejudice,daily,2015-07-10,all-access,all-agents,3416
en.wikipedia,Pride_and_Prejudice,daily,2015-07-11,all-access,all-agents,8625
en.wikipedia,Pride_and_Prejudice,daily,2015-07-12,all-access,all-agents,5422
en.wikipedia,Pride_and_Prejudice,daily,2015-07-13,all-access,all-agents,4480
en.wikipedia,Pride_and_Prejudice,daily,2015-07-14,all-access,all-agents,4183
en.wikipedia,Pride_and_Prejudice,daily,2015-07-15,all-access,all-agents,3927
en.wikipedia,Pride_and_Prejudice,daily,2015-07-16,all-access,all-agents,3638
en.wikipedia,Pride_and_Prejudice,daily,2015-07-17,all-access,all-agents,4315
en.wikipedia,Pride_and_Prejudice,daily,2015-07-18,all-access,all-agents,4244
en.wikipedia,Pride_and_Prejudice,daily,2015-07-19,all-access,all-agents,4070
en.wikipedia,Pride_and_Prejudice,daily,2015-07-20,all-access,all-agents,4268
en.wikipedia,Pride_and_Prejudice,daily,2015-07-21,all-access,all-agents,4312
en.wikipedia,Pride_and_Prejudice,daily,2015-07-22,all-access,all-agents,3774
en.wikipedia,Pride_and_Prejudice,daily,2015-07-23,all-access,all-agents,3797
en.wikipedia,Pride_and_Prejudice,daily,2015-07-24,all-access,all-agents,3848
en.wikipedia,Pride_and_Prejudice,daily,2015-07-25,all-access,all-agents,3735
en.wikipedia,Pride_and_Prejudice,daily,2015-07-26,all-access,all-agents,7581
en.wikipedia,Pride_and_Prejudice,daily,2015-07-27,all-access,all-agents,4455
en.wikipedia,Pride_and_Prejudice,daily,2015-07-28,all-access,all-agents,4094
en.wikipedia,Pride_and_Prejudice,daily,2015-07-29,all-access,all-agents,3882
en.wikipedia,Pride_and_Prejudice,daily,2015-07-30,all-access,all-agents,3850
en.wikipedia,Pride_and_Prejudice,daily,2015-07-31,all-access,all-agents,3511
en.wikipedia,Pride_and_Prejudice,daily,2015-08-01,all-access,all-agents,3479
en.wikipedia,Pride_and_Prejudice,daily,2015-08-02,all-access,all-agents,3857
en.wikipedia,Pride_and_Prejudice,daily,2015-08-03,all-access,all-agents,3858
en.wikipedia,Pride_and_Prejudice,daily,2015-08-04,all-access,all-agents,4148
en.wikipedia,Pride_and_Prejudice,daily,2015-08-05,all-access,all-agents,4050
en.wikipedia,Pride_and_Prejudice,daily,2015-08-06,all-access,all-agents,4074
en.wikipedia,Pride_and_Prejudice,daily,2015-08-07,all-access,all-agents,3644
en.wikipedia,Pride_and_Prejudice,daily,2015-08-08,all-access,all-agents,3943
en.wikipedia,Pride_and_Prejudice,daily,2015-08-09,all-access,all-agents,11241
en.wikipedia,Pride_and_Prejudice,daily,2015-08-10,all-access,all-agents,4553
en.wikipedia,Pride_and_Prejudice,daily,2015-08-11,all-access,all-agents,4196
en.wikipedia,Pride_and_Prejudice,daily,2015-08-12,all-access,all-agents,4025
en.wikipedia,Pride_and_Prejudice,daily,2015-08-13,all-access,all-agents,4218
en.wikipedia,Pride_and_Prejudice,daily,2015-08-14,all-access,all-agents,4007
en.wikipedia,Pride_and_Prejudice,daily,2015-08-15,all-access,all-agents,5121
en.wikipedia,Pride_and_Prejudice,daily,2015-08-16,all-access,all-agents,4457
en.wikipedia,Pride_and_Prejudice,daily,2015-08-17,all-access,all-agents,4258
en.wikipedia,Pride_and_Prejudice,daily,2015-08-18,all-access,all-agents,4230
en.wikipedia,Pride_and_Prejudice,daily,2015-08-19,all-access,all-agents,4459
en.wikipedia,Pride_and_Prejudice,daily,2015-08-20,all-access,all-agents,4176
en.wikipedia,Pride_and_Prejudice,daily,2015-08-21,all-access,all-agents,3988
en.wikipedia,Pride_and_Prejudice,daily,2015-08-22,all-access,all-agents,3861
en.wikipedia,Pride_and_Prejudice,daily,2015-08-23,all-access,all-agents,4691
en.wikipedia,Pride_and_Prejudice,daily,2015-08-24,all-access,all-agents,4450
en.wikipedia,Pride_and_Prejudice,daily,2015-08-25,all-access,all-agents,4412
en.wikipedia,Pride_and_Prejudice,daily,2015-08-26,all-access,all-agents,4041
en.wikipedia,Pride_and_Prejudice,daily,2015-08-27,all-access,all-agents,4889
en.wikipedia,Pride_and_Prejudice,daily,2015-08-28,all-access,all-agents,3811
en.wikipedia,Pride_and_Prejudice,daily,2015-08-29,all-access,all-agents,6108
en.wikipedia,Pride_and_Prejudice,daily,2015-08-30,all-access,all-agents,4988
en.wikipedia,Pride_and_Prejudice,daily,2015-08-31,all-access,all-agents,5009
en.wikipedia,Pride_and_Prejudice,daily,2015-09-01,all-access,all-agents,4589
en.wikipedia,Pride_and_Prejudice,daily,2015-09-02,all-access,all-agents,4471
en.wikipedia,Pride_and_Prejudice,daily,2015-09-03,all-access,all-agents,5302
en.wikipedia,Pride_and_Prejudice,daily,2015-09-04,all-access,all-agents,4015
en.wikipedia,Pride_and_Prejudice,daily,2015-09-05,all-access,all-agents,3757
en.wikipedia,Pride_and_Prejudice,daily,2015-09-06,all-access,all-agents,4190
en.wikipedia,Pride_and_Prejudice,daily,2015-09-07,all-access,all-agents,4498
en.wikipedia,Pride_and_Prejudice,daily,2015-09-08,all-access,all-agents,4400
en.wikipedia,Pride_and_Prejudice,daily,2015-09-09,all-access,all-agents,4093
en.wikipedia,Pride_and_Prejudice,daily,2015-09-10,all-access,all-agents,4091
en.wikipedia,Pride_and_Prejudice,daily,2015-09-11,all-access,all-agents,3656
en.wikipedia,Pride_and_Prejudice,daily,2015-09-12,all-access,all-agents,3740
en.wikipedia,Pride_and_Prejudice,daily,2015-09-13,all-access,all-agents,4436
en.wikipedia,Pride_and_Prejudice,daily,2015-09-14,all-access,all-agents,4303
en.wikipedia,Pride_and_Prejudice,daily,2015-09-15,all-access,all-agents,4153
en.wikipedia,Pride_and_Prejudice,daily,2015-09-16,all-access,all-agents,4230
en.wikipedia,Pride_and_Prejudice,daily,2015-09-17,all-access,all-agents,3947
en.wikipedia,Pride_and_Prejudice,daily,2015-09-18,all-access,all-agents,3752
en.wikipedia,Pride_and_Prejudice,daily,2015-09-19,all-access,all-agents,3405
en.wikipedia,Pride_and_Prejudice,daily,2015-09-20,all-access,all-agents,4353
en.wikipedia,Pride_and_Prejudice,daily,2015-09-21,all-access,all-agents,4426
en.wikipedia,Pride_and_Prejudice,daily,2015-09-22,all-access,all-agents,4557
en.wikipedia,Pride_and_Prejudice,daily,2015-09-23,all-access,all-agents,4601
en.wikipedia,Pride_and_Prejudice,daily,2015-09-24,all-access,all-agents,10502
en.wikipedia,Pride_and_Prejudice,daily,2015-09-25,all-access,all-agents,4188
en.wikipedia,Pride_and_Prejudice,daily,2015-09-26,all-access,all-agents,6507
en.wikipedia,Pride_and_Prejudice,daily,2015-09-27,all-access,all-agents,8019
en.wikipedia,Pride_and_Prejudice,daily,2015-09-28,all-access,all-agents,4428
en.wikipedia,Pride_and_Prejudice,daily,2015-09-29,all-access,all-agents,4362
en.wikipedia,Pride_and_Prejudice,daily,2015-09-30,all-access,all-agents,4073
en.wikipedia,Pride_and_Prejudice,daily,2015-10-01,all-access,all-agents,4068
en.wikipedia,Pride_and_Prejudice,daily,2015-10-02,all-access,all-agents,3578
en.wikipedia,Pride_and_Prejudice,daily,2015-10-03,all-access,all-agents,3874
en.wikipedia,Pride_and_Prejudice,daily,2015-10-04,all-access,all-agents,4119
en.wikipedia,Pride_and_Prejudice,daily,2015-10-05,all-access,all-agents,4415
en.wikipedia,Pride_and_Prejudice,daily,2015-10-06,all-access,all-agents,3997
en.wikipedia,Pride_and_Prejudice,daily,2015-10-07,all-access,all-agents,4351
en.wikipedia,Pride_and_Prejudice,daily,2015-10-08,all-access,all-agents,4057
en.wikipedia,Pride_and_Prejudice,daily,2015-10-09,all-access,all-agents,5031
en.wikipedia,Pride_and_Prejudice,daily,2015-10-10,all-access,all-agents,5214
en.wikipedia,Pride_and_Prejudice,daily,2015-10-11,all-access,all-agents,7089
en.wikipedia,Pride_and_Prejudice,daily,2015-10-12,all-access,all-agents,5205
en.wikipedia,Pride_and_Prejudice,daily,2015-10-13,all-access,all-agents,5014
en.wikipedia,Pride_and_Prejudice,daily,2015-10-14,all-access,all-agents,6487
en.wikipedia,Pride_and_Prejudice,daily,2015-10-15,all-access,all-agents,4859
en.wikipedia,Pride_and_Prejudice,daily,2015-10-16,all-access,all-agents,4209
en.wikipedia,Pride_and_Prejudice,daily,2015-10-17,all-access,all-agents,3958
en.wikipedia,Pride_and_Prejudice,daily,2015-10-18,all-access,all-agents,4912
en.wikipedia,Pride_and_Prejudice,daily,2015-10-19,all-access,all-agents,4417
en.wikipedia,Pride_and_Prejudice,daily,2015-10-20,all-access,all-agents,4381
en.wikipedia,Pride_and_Prejudice,daily,2015-10-21,all-access,all-agents,4392
en.wikipedia,Pride_and_Prejudice,daily,2015-10-22,all-access,all-agents,5925
en.wikipedia,Pride_and_Prejudice,daily,2015-10-23,all-access,all-agents,5808
en.wikipedia,Pride_and_Prejudice,daily,2015-10-24,all-access,all-agents,4991
en.wikipedia,Pride_and_Prejudice,daily,2015-10-25,all-access,all-agents,5611
en.wikipedia,Pride_and_Prejudice,daily,2015-10-26,all-access,all-agents,6290
en.wikipedia,Pride_and_Prejudice,daily,2015-10-27,all-access,all-agents,5331
en.wikipedia,Pride_and_Prejudice,daily,2015-10-28,all-access,all-agents,4825
en.wikipedia,Pride_and_Prejudice,daily,2015-10-29,all-access,all-agents,5474
en.wikipedia,Pride_and_Prejudice,daily,2015-10-30,all-access,all-agents,3941
en.wikipedia,Pride_and_Prejudice,daily,2015-10-31,all-access,all-agents,3446
en.wikipedia,Pride_and_Prejudice,daily,2015-11-01,all-access,all-agents,4558
en.wikipedia,Pride_and_Prejudice,daily,2015-11-02,all-access,all-agents,6014
en.wikipedia,Pride_and_Prejudice,daily,2015-11-03,all-access,all-agents,4996
en.wikipedia,Pride_and_Prejudice,daily,2015-11-04,all-access,all-agents,4951
en.wikipedia,Pride_and_Prejudice,daily,2015-11-05,all-access,all-agents,4684
en.wikipedia,Pride_and_Prejudice,daily,2015-11-06,all-access,all-agents,4250
en.wikipedia,Pride_and_Prejudice,daily,2015-11-07,all-access,all-agents,3910
en.wikipedia,Pride_and_Prejudice,daily,2015-11-08,all-access,all-agents,5256
