project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-01,all-access,all-agents,3192
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-02,all-access,all-agents,3457
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-03,all-access,all-agents,3990
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-04,all-access,all-agents,4520
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-05,all-access,all-agents,4755
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-06,all-access,all-agents,4420
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-07,all-access,all-agents,3713
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-08,all-access,all-agents,3656
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-09,all-access,all-agents,4817
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-10,all-access,all-agents,5252
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-11,all-access,all-agents,4605
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-12,all-access,all-agents,4283
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-13,all-access,all-agents,3666
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-14,all-access,all-agents,3529
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-15,all-access,all-agents,3463
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-16,all-access,all-agents,3691
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-17,all-access,all-agents,4306
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-18,all-access,all-agents,3655
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-19,all-access,all-agents,4177
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-20,all-access,all-agents,4159
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-21,all-access,all-agents,8253
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-22,all-access,all-agents,4329
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-23,all-access,all-agents,3265
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-24,all-access,all-agents,3616
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-25,all-access,all-agents,4680
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-26,all-access,all-agents,10722
en.wikipedia,The_Chronicles_of_Narnia,daily,2015-07-27,all-access,all-agents,4939
