project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Color_Purple,daily,2015-07-01,all-access,all-agents,1450
en.wikipedia,The_Color_Purple,daily,2015-07-02,all-access,all-agents,1283
en.wikipedia,The_Color_Purple,daily,2015-07-03,all-access,all-agents,1217
en.wikipedia,The_Color_Purple,daily,2015-07-04,all-access,all-agents,1076
en.wikipedia,The_Color_Purple,daily,2015-07-05,all-access,all-agents,1023
en.wikipedia,The_Color_Purple,daily,2015-07-06,all-access,all-agents,2378
en.wikipedia,The_Color_Purple,daily,2015-07-07,all-access,all-agents,1307
en.wikipedia,The_Color_Purple,daily,2015-07-08,all-access,all-agents,1236
en.wikipedia,The_Color_Purple,daily,2015-07-09,all-access,all-agents,1077
en.wikipedia,The_Color_Purple,daily,2015-07-10,all-access,all-agents,1105
en.wikipedia,The_Color_Purple,daily,2015-07-11,all-access,all-agents,1066
en.wikipedia,The_Color_Purple,daily,2015-07-12,all-access,all-agents,1831
en.wikipedia,The_Color_Purple,daily,2015-07-13,all-access,all-agents,1762
en.wikipedia,The_Color_Purple,daily,2015-07-14,all-access,all-agents,1410
en.wikipedia,The_Color_Purple,daily,2015-07-15,all-access,all-agents,1253
en.wikipedia,The_Color_Purple,daily,2015-07-16,all-access,all-agents,1646
en.wikipedia,The_Color_Purple,daily,2015-07-17,all-access,all-agents,1884
en.wikipedia,The_Color_Purple,daily,2015-07-18,all-access,all-agents,1103
en.wikipedia,The_Color_Purple,daily,2015-07-19,all-access,all-agents,1105
en.wikipedia,The_Color_Purple,daily,2015-07-20,all-access,all-agents,1144
en.wikipedia,The_Color_Purple,daily,2015-07-21,all-access,all-agents,1136
en.wikipedia,The_Color_Purple,daily,2015-07-22,all-access,all-agents,1199
en.wikipedia,The_Color_Purple,daily,2015-07-23,all-access,all-agents,1321
en.wikipedia,The_Color_Purple,daily,2015-07-24,all-access,all-agents,1063
en.wikipedia,The_Color_Purple,daily,2015-07-25,all-access,all-agents,1016
en.wikipedia,The_Color_Purple,daily,2015-07-26,all-access,all-agents,1071
en.wikipedia,The_Color_Purple,daily,2015-07-27,all-access,all-agents,1242
en.wikipedia,The_Color_Purple,daily,2015-07-28,all-access,all-agents,2038
en.wikipedia,The_Color_Purple,daily,2015-07-29,all-access,all-agents,1272
en.wikipedia,The_Color_Purple,daily,2015-07-30,all-access,all-agents,1071
en.wikipedia,The_Color_Purple,daily,2015-07-31,all-access,all-agents,1100
en.wikipedia,The_Color_Purple,daily,2015-08-01,all-access,all-agents,965
en.wikipedia,The_Color_Purple,daily,2015-08-02,all-access,all-agents,2375
en.wikipedia,The_Color_Purple,daily,2015-08-03,all-access,all-agents,1447
en.wikipedia,The_Color_Purple,daily,2015-08-04,all-access,all-agents,2597
en.wikipedia,The_Color_Purple,daily,2015-08-05,all-access,all-agents,1135
en.wikipedia,The_Color_Purple,daily,2015-08-06,all-access,all-agents,1223
en.wikipedia,The_Color_Purple,daily,2015-08-07,all-access,all-agents,1067
en.wikipedia,The_Color_Purple,daily,2015-08-08,all-access,all-agents,1056
en.wikipedia,The_Color_Purple,daily,2015-08-09,all-access,all-agents,2442
en.wikipedia,The_Color_Purple,daily,2015-08-10,all-access,all-agents,1324
en.wikipedia,The_Color_Purple,daily,2015-08-11,all-access,all-agents,1295
en.wikipedia,The_Color_Purple,daily,2015-08-12,all-access,all-agents,1321
en.wikipedia,The_Color_Purple,daily,2015-08-13,all-access,all-agents,1155
en.wikipedia,The_Color_Purple,daily,2015-08-14,all-access,all-agents,1246
en.wikipedia,The_Color_Purple,daily,2015-08-15,all-access,all-agents,2329
en.wikipedia,The_Color_Purple,daily,2015-08-16,all-access,all-agents,1186
en.wikipedia,The_Color_Purple,daily,2015-08-17,all-access,all-agents,1247
en.wikipedia,The_Color_Purple,daily,2015-08-18,all-access,all-agents,1214
en.wikipedia,The_Color_Purple,daily,2015-08-19,all-access,all-agents,1268
en.wikipedia,The_Color_Purple,daily,2015-08-20,all-access,all-agents,1147
en.wikipedia,The_Color_Purple,daily,2015-08-21,all-access,all-agents,1125
en.wikipedia,The_Color_Purple,daily,2015-08-22,all-access,all-agents,1046
en.wikipedia,The_Color_Purple,daily,2015-08-23,all-access,all-agents,1095
en.wikipedia,The_Color_Purple,daily,2015-08-24,all-access,all-agents,1324
en.wikipedia,The_Color_Purple,daily,2015-08-25,all-access,all-agents,1948
en.wikipedia,The_Color_Purple,daily,2015-08-26,all-access,all-agents,1528
en.wikipedia,The_Color_Purple,daily,2015-08-27,all-access,all-agents,1287
en.wikipedia,The_Color_Purple,daily,2015-08-28,all-access,all-agents,1213
en.wikipedia,The_Color_Purple,daily,2015-08-29,all-access,all-agents,2204
en.wikipedia,The_Color_Purple,daily,2015-08-30,all-access,all-agents,1383
en.wikipedia,The_Color_Purple,daily,2015-08-31,all-access,all-agents,1380
en.wikipedia,The_Color_Purple,daily,2015-09-01,all-access,all-agents,1288
en.wikipedia,The_Color_Purple,daily,2015-09-02,all-access,all-agents,1301
en.wikipedia,The_Color_Purple,daily,2015-09-03,all-access,all-agents,1374
