project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-07,all-access,all-agents,62
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-08,all-access,all-agents,79
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-09,all-access,all-agents,62
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-10,all-access,all-agents,37
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-11,all-access,all-agents,50
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-12,all-access,all-agents,49
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-13,all-access,all-agents,49
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-14,all-access,all-agents,56
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-15,all-access,all-agents,168
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-16,all-access,all-agents,228
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-17,all-access,all-agents,206
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-18,all-access,all-agents,246
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-19,all-access,all-agents,201
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-20,all-access,all-agents,217
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-21,all-access,all-agents,291
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-22,all-access,all-agents,218
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-23,all-access,all-agents,234
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-24,all-access,all-agents,264
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-25,all-access,all-agents,214
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-26,all-access,all-agents,224
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-27,all-access,all-agents,247
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-28,all-access,all-agents,221
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-29,all-access,all-agents,255
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-30,all-access,all-agents,213
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-08-31,all-access,all-agents,245
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-01,all-access,all-agents,243
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-02,all-access,all-agents,254
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-03,all-access,all-agents,326
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-04,all-access,all-agents,271
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-05,all-access,all-agents,289
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-06,all-access,all-agents,218
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-07,all-access,all-agents,212
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-08,all-access,all-agents,220
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-09,all-access,all-agents,267
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-10,all-access,all-agents,240
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-11,all-access,all-agents,218
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-12,all-access,all-agents,221
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-13,all-access,all-agents,257
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-14,all-access,all-agents,247
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-15,all-access,all-agents,269
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-16,all-access,all-agents,312
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-17,all-access,all-agents,232
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-18,all-access,all-agents,240
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-19,all-access,all-agents,267
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-20,all-access,all-agents,258
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-21,all-access,all-agents,282
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-22,all-access,all-agents,377
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-23,all-access,all-agents,309
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-24,all-access,all-agents,302
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-25,all-access,all-agents,309
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-26,all-access,all-agents,249
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-27,all-access,all-agents,262
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-28,all-access,all-agents,275
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-29,all-access,all-agents,312
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-09-30,all-access,all-agents,260
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-01,all-access,all-agents,253
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-02,all-access,all-agents,280
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-03,all-access,all-agents,259
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-04,all-access,all-agents,273
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-05,all-access,all-agents,250
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-06,all-access,all-agents,336
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-07,all-access,all-agents,313
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-08,all-access,all-agents,275
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-09,all-access,all-agents,302
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-10,all-access,all-agents,313
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-11,all-access,all-agents,298
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-12,all-access,all-agents,289
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-13,all-access,all-agents,306
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-14,all-access,all-agents,320
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-15,all-access,all-agents,288
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-16,all-access,all-agents,378
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-17,all-access,all-agents,296
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-18,all-access,all-agents,259
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-19,all-access,all-agents,312
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-20,all-access,all-agents,310
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-21,all-access,all-agents,313
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-22,all-access,all-agents,320
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-23,all-access,all-agents,319
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-24,all-access,all-agents,266
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-25,all-access,all-agents,290
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-26,all-access,all-agents,277
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-27,all-access,all-agents,295
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-28,all-access,all-agents,304
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-29,all-access,all-agents,317
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-30,all-access,all-agents,346
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-10-31,all-access,all-agents,281
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-01,all-access,all-agents,240
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-02,all-access,all-agents,316
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-03,all-access,all-agents,312
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-04,all-access,all-agents,273
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-05,all-access,all-agents,364
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-06,all-access,all-agents,538
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-07,all-access,all-agents,498
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-08,all-access,all-agents,396
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-09,all-access,all-agents,332
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-10,all-access,all-agents,391
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-11,all-access,all-agents,365
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-12,all-access,all-agents,344
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-13,all-access,all-agents,370
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-14,all-access,all-agents,313
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-15,all-access,all-agents,350
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-16,all-access,all-agents,320
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-17,all-access,all-agents,346
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-18,all-access,all-agents,358
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-19,all-access,all-agents,332
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-20,all-access,all-agents,378
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-21,all-access,all-agents,303
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-22,all-access,all-agents,334
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-23,all-access,all-agents,360
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-24,all-access,all-agents,328
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-25,all-access,all-agents,390
en.wikipedia,The_Forty_Rules_of_Love,daily,2019-11-26,all-access,all-agents,376
