project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Hunger_Games,daily,2015-07-01,all-access,all-agents,8220
en.wikipedia,The_Hunger_Games,daily,2015-07-02,all-access,all-agents,8629
en.wikipedia,The_Hunger_Games,daily,2015-07-03,all-access,all-agents,11250
en.wikipedia,The_Hunger_Games,daily,2015-07-04,all-access,all-agents,10977
en.wikipedia,The_Hunger_Games,daily,2015-07-05,all-access,all-agents,11602
en.wikipedia,The_Hunger_Games,daily,2015-07-06,all-access,all-agents,10804
en.wikipedia,The_Hunger_Games,daily,2015-07-07,all-access,all-agents,9641
en.wikipedia,The_Hunger_Games,daily,2015-07-08,all-access,all-agents,10018
en.wikipedia,The_Hunger_Games,daily,2015-07-09,all-access,all-agents,10945
en.wikipedia,The_Hunger_Games,daily,2015-07-10,all-access,all-agents,14388
en.wikipedia,The_Hunger_Games,daily,2015-07-11,all-access,all-agents,15715
en.wikipedia,The_Hunger_Games,daily,2015-07-12,all-access,all-agents,21643
en.wikipedia,The_Hunger_Games,daily,2015-07-13,all-access,all-agents,14485
en.wikipedia,The_Hunger_Games,daily,2015-07-14,all-access,all-agents,11615
en.wikipedia,The_Hunger_Games,daily,2015-07-15,all-access,all-agents,10450
en.wikipedia,The_Hunger_Games,daily,2015-07-16,all-access,all-agents,9765
en.wikipedia,The_Hunger_Games,daily,2015-07-17,all-access,all-agents,9359
en.wikipedia,The_Hunger_Games,daily,2015-07-18,all-access,all-agents,10731
en.wikipedia,The_Hunger_Games,daily,2015-07-19,all-access,all-agents,12496
en.wikipedia,The_Hunger_Games,daily,2015-07-20,all-access,all-agents,10635
en.wikipedia,The_Hunger_Games,daily,2015-07-21,all-access,all-agents,9020
en.wikipedia,The_Hunger_Games,daily,2015-07-22,all-access,all-agents,8583
en.wikipedia,The_Hunger_Games,daily,2015-07-23,all-access,all-agents,13313
en.wikipedia,The_Hunger_Games,daily,2015-07-24,all-access,all-agents,16581
en.wikipedia,The_Hunger_Games,daily,2015-07-25,all-access,all-agents,16094
en.wikipedia,The_Hunger_Games,daily,2015-07-26,all-access,all-agents,19366
en.wikipedia,The_Hunger_Games,daily,2015-07-27,all-access,all-agents,14058
en.wikipedia,The_Hunger_Games,daily,2015-07-28,all-access,all-agents,11927
en.wikipedia,The_Hunger_Games,daily,2015-07-29,all-access,all-agents,11155
en.wikipedia,The_Hunger_Games,daily,2015-07-30,all-access,all-agents,10367
en.wikipedia,The_Hunger_Games,daily,2015-07-31,all-access,all-agents,9788
en.wikipedia,The_Hunger_Games,daily,2015-08-01,all-access,all-agents,11784
en.wikipedia,The_Hunger_Games,daily,2015-08-02,all-access,all-agents,19089
en.wikipedia,The_Hunger_Games,daily,2015-08-03,all-access,all-agents,13268
en.wikipedia,The_Hunger_Games,daily,2015-08-04,all-access,all-agents,10150
en.wikipedia,The_Hunger_Games,daily,2015-08-05,all-access,all-agents,9235
en.wikipedia,The_Hunger_Games,daily,2015-08-06,all-access,all-agents,7975
en.wikipedia,The_Hunger_Games,daily,2015-08-07,all-access,all-agents,8799
en.wikipedia,The_Hunger_Games,daily,2015-08-08,all-access,all-agents,10100
en.wikipedia,The_Hunger_Games,daily,2015-08-09,all-access,all-agents,12062
en.wikipedia,The_Hunger_Games,daily,2015-08-10,all-access,all-agents,9935
en.wikipedia,The_Hunger_Games,daily,2015-08-11,all-access,all-agents,8757
