project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-01,all-access,all-agents,6479
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-02,all-access,all-agents,6248
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-03,all-access,all-agents,8127
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-04,all-access,all-agents,6682
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-05,all-access,all-agents,7401
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-06,all-access,all-agents,6940
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-07,all-access,all-agents,6472
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-08,all-access,all-agents,6533
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-09,all-access,all-agents,6672
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-10,all-access,all-agents,6325
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-11,all-access,all-agents,6679
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-12,all-access,all-agents,7551
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-13,all-access,all-agents,7258
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-14,all-access,all-agents,6549
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-15,all-access,all-agents,19144
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-16,all-access,all-agents,8357
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-17,all-access,all-agents,7078
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-18,all-access,all-agents,6980
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-19,all-access,all-agents,14614
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-20,all-access,all-agents,10390
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-21,all-access,all-agents,6596
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-22,all-access,all-agents,6367
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-23,all-access,all-agents,7836
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-24,all-access,all-agents,6958
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-25,all-access,all-agents,6246
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-26,all-access,all-agents,7904
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-27,all-access,all-agents,6313
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-28,all-access,all-agents,6075
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-29,all-access,all-agents,6382
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-30,all-access,all-agents,5654
en.wikipedia,The_Lord_of_the_Rings,daily,2015-07-31,all-access,all-agents,5929
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-01,all-access,all-agents,6432
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-02,all-access,all-agents,7046
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-03,all-access,all-agents,5595
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-04,all-access,all-agents,5520
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-05,all-access,all-agents,5629
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-06,all-access,all-agents,5830
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-07,all-access,all-agents,6257
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-08,all-access,all-agents,6328
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-09,all-access,all-agents,8792
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-10,all-access,all-agents,8317
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-11,all-access,all-agents,6309
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-12,all-access,all-agents,6831
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-13,all-access,all-agents,7561
en.wikipedia,The_Lord_of_the_Rings,daily,2015-08-14,all-access,all-agents,7764
