project,article,granularity,timestamp,access,agent,views
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-10,all-access,all-agents,11
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-11,all-access,all-agents,3
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-12,all-access,all-agents,5
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-13,all-access,all-agents,9
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-15,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-16,all-access,all-agents,2
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-17,all-access,all-agents,4
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-21,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-11-27,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2019-12-26,all-access,all-agents,3
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-01-13,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-01-18,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-01-28,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-03-03,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-03-11,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-03-17,all-access,all-agents,2
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-03-19,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-04-02,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-05-04,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-05-05,all-access,all-agents,6
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-05-10,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-05-19,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-05-21,all-access,all-agents,2
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-05-22,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-05-23,all-access,all-agents,2
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-07-18,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-08-01,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-09-06,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-09-07,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-09-16,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-10-08,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-10-22,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-10-24,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-11-01,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-11-07,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-11-09,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-12-02,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-12-04,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2020-12-17,all-access,all-agents,2
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-01-10,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-01-20,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-02-01,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-02-14,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-03-12,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-03-31,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-04-02,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-04-05,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-04-09,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-04-15,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-04-18,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-04-25,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-06-02,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-06-16,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-07-02,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-07-28,all-access,all-agents,2
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-07-31,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-08-01,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-08-09,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-08-12,all-access,all-agents,1
en.wikipedia,"The_Secret_Diary_of_Adrian_Mole,_Aged_13_¾",daily,2021-09-08,all-access,all-agents,1
