project,article,granularity,timestamp,access,agent,views
en.wikipedia,The_Twilight_Saga,daily,2015-07-01,all-access,all-agents,125
en.wikipedia,The_Twilight_Saga,daily,2015-07-02,all-access,all-agents,45
en.wikipedia,The_Twilight_Saga,daily,2015-07-03,all-access,all-agents,42
en.wikipedia,The_Twilight_Saga,daily,2015-07-04,all-access,all-agents,57
en.wikipedia,The_Twilight_Saga,daily,2015-07-05,all-access,all-agents,95
en.wikipedia,The_Twilight_Saga,daily,2015-07-06,all-access,all-agents,50
en.wikipedia,The_Twilight_Saga,daily,2015-07-07,all-access,all-agents,68
en.wikipedia,The_Twilight_Saga,daily,2015-07-08,all-access,all-agents,65
en.wikipedia,The_Twilight_Saga,daily,2015-07-09,all-access,all-agents,52
en.wikipedia,The_Twilight_Saga,daily,2015-07-10,all-access,all-agents,73
en.wikipedia,The_Twilight_Saga,daily,2015-07-11,all-access,all-agents,71
en.wikipedia,The_Twilight_Saga,daily,2015-07-12,all-access,all-agents,71
en.wikipedia,The_Twilight_Saga,daily,2015-07-13,all-access,all-agents,104
en.wikipedia,The_Twilight_Saga,daily,2015-07-14,all-access,all-agents,69
en.wikipedia,The_Twilight_Saga,daily,2015-07-15,all-access,all-agents,56
en.wikipedia,The_Twilight_Saga,daily,2015-07-16,all-access,all-agents,49
en.wikipedia,The_Twilight_Saga,daily,2015-07-17,all-access,all-agents,102
en.wikipedia,The_Twilight_Saga,daily,2015-07-18,all-access,all-agents,82
en.wikipedia,The_Twilight_Saga,daily,2015-07-19,all-access,all-agents,43
en.wikipedia,The_Twilight_Saga,daily,2015-07-20,all-access,all-agents,67
en.wikipedia,The_Twilight_Saga,daily,2015-07-21,all-access,all-agents,71
en.wikipedia,The_Twilight_Saga,daily,2015-07-22,all-access,all-agents,48
en.wikipedia,The_Twilight_Saga,daily,2015-07-23,all-access,all-agents,53
en.wikipedia,The_Twilight_Saga,daily,2015-07-24,all-access,all-agents,53
en.wikipedia,The_Twilight_Saga,daily,2015-07-25,all-access,all-agents,70
en.wikipedia,The_Twilight_Saga,daily,2015-07-26,all-access,all-agents,72
en.wikipedia,The_Twilight_Saga,daily,2015-07-27,all-access,all-agents,58
en.wikipedia,The_Twilight_Saga,daily,2015-07-28,all-access,all-agents,58
en.wikipedia,The_Twilight_Saga,daily,2015-07-29,all-access,all-agents,56
en.wikipedia,The_Twilight_Saga,daily,2015-07-30,all-access,all-agents,60
en.wikipedia,The_Twilight_Saga,daily,2015-07-31,all-access,all-agents,46
en.wikipedia,The_Twilight_Saga,daily,2015-08-01,all-access,all-agents,50
en.wikipedia,The_Twilight_Saga,daily,2015-08-02,all-access,all-agents,40
en.wikipedia,The_Twilight_Saga,daily,2015-08-03,all-access,all-agents,67
en.wikipedia,The_Twilight_Saga,daily,2015-08-04,all-access,all-agents,72
en.wikipedia,The_Twilight_Saga,daily,2015-08-05,all-access,all-agents,91
en.wikipedia,The_Twilight_Saga,daily,2015-08-06,all-access,all-agents,66
en.wikipedia,The_Twilight_Saga,daily,2015-08-07,all-access,all-agents,102
en.wikipedia,The_Twilight_Saga,daily,2015-08-08,all-access,all-agents,48
en.wikipedia,The_Twilight_Saga,daily,2015-08-09,all-access,all-agents,46
en.wikipedia,The_Twilight_Saga,daily,2015-08-10,all-access,all-agents,38
en.wikipedia,The_Twilight_Saga,daily,2015-08-11,all-access,all-agents,37
en.wikipedia,The_Twilight_Saga,daily,2015-08-12,all-access,all-agents,34
