project,article,granularity,timestamp,access,agent,views
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-01,all-access,all-agents,5562
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-02,all-access,all-agents,6030
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-03,all-access,all-agents,6981
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-04,all-access,all-agents,5949
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-05,all-access,all-agents,6595
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-06,all-access,all-agents,6391
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-07,all-access,all-agents,6428
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-08,all-access,all-agents,10771
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-09,all-access,all-agents,13954
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-10,all-access,all-agents,41094
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-11,all-access,all-agents,43507
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-12,all-access,all-agents,40005
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-13,all-access,all-agents,59088
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-14,all-access,all-agents,106347
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-15,all-access,all-agents,51101
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-16,all-access,all-agents,26993
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-17,all-access,all-agents,22129
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-18,all-access,all-agents,19509
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-19,all-access,all-agents,20527
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-20,all-access,all-agents,19891
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-21,all-access,all-agents,17984
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-22,all-access,all-agents,13664
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-23,all-access,all-agents,12117
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-24,all-access,all-agents,11223
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-25,all-access,all-agents,11214
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-26,all-access,all-agents,10999
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-27,all-access,all-agents,10617
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-28,all-access,all-agents,9792
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-29,all-access,all-agents,9471
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-30,all-access,all-agents,8816
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-07-31,all-access,all-agents,8205
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-01,all-access,all-agents,8006
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-02,all-access,all-agents,8452
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-03,all-access,all-agents,7941
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-04,all-access,all-agents,9477
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-05,all-access,all-agents,9479
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-06,all-access,all-agents,8248
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-07,all-access,all-agents,7080
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-08,all-access,all-agents,7137
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-09,all-access,all-agents,8369
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-10,all-access,all-agents,7780
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-11,all-access,all-agents,7769
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-12,all-access,all-agents,7479
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-13,all-access,all-agents,7609
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-14,all-access,all-agents,6942
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-15,all-access,all-agents,6561
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-16,all-access,all-agents,7297
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-17,all-access,all-agents,7664
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-18,all-access,all-agents,7750
en.wikipedia,To_Kill_a_Mockingbird,daily,2015-08-19,all-access,all-agents,7511
