project,article,granularity,timestamp,access,agent,views
en.wikipedia,A_Serious_Man,daily,2015-07-01,all-access,all-agents,683
en.wikipedia,A_Serious_Man,daily,2015-07-02,all-access,all-agents,766
en.wikipedia,A_Serious_Man,daily,2015-07-03,all-access,all-agents,691
en.wikipedia,A_Serious_Man,daily,2015-07-04,all-access,all-agents,708
en.wikipedia,A_Serious_Man,daily,2015-07-05,all-access,all-agents,795
en.wikipedia,A_Serious_Man,daily,2015-07-06,all-access,all-agents,826
en.wikipedia,A_Serious_Man,daily,2015-07-07,all-access,all-agents,774
en.wikipedia,A_Serious_Man,daily,2015-07-08,all-access,all-agents,742
en.wikipedia,A_Serious_Man,daily,2015-07-09,all-access,all-agents,894
en.wikipedia,A_Serious_Man,daily,2015-07-10,all-access,all-agents,769
en.wikipedia,A_Serious_Man,daily,2015-07-11,all-access,all-agents,839
en.wikipedia,A_Serious_Man,daily,2015-07-12,all-access,all-agents,818
en.wikipedia,A_Serious_Man,daily,2015-07-13,all-access,all-agents,780
en.wikipedia,A_Serious_Man,daily,2015-07-14,all-access,all-agents,838
en.wikipedia,A_Serious_Man,daily,2015-07-15,all-access,all-agents,776
en.wikipedia,A_Serious_Man,daily,2015-07-16,all-access,all-agents,748
en.wikipedia,A_Serious_Man,daily,2015-07-17,all-access,all-agents,736
en.wikipedia,A_Serious_Man,daily,2015-07-18,all-access,all-agents,768
en.wikipedia,A_Serious_Man,daily,2015-07-19,all-access,all-agents,876
en.wikipedia,A_Serious_Man,daily,2015-07-20,all-access,all-agents,828
en.wikipedia,A_Serious_Man,daily,2015-07-21,all-access,all-agents,737
en.wikipedia,A_Serious_Man,daily,2015-07-22,all-access,all-agents,742
en.wikipedia,A_Serious_Man,daily,2015-07-23,all-access,all-agents,734
en.wikipedia,A_Serious_Man,daily,2015-07-24,all-access,all-agents,760
en.wikipedia,A_Serious_Man,daily,2015-07-25,all-access,all-agents,830
en.wikipedia,A_Serious_Man,daily,2015-07-26,all-access,all-agents,934
en.wikipedia,A_Serious_Man,daily,2015-07-27,all-access,all-agents,895
en.wikipedia,A_Serious_Man,daily,2015-07-28,all-access,all-agents,1348
en.wikipedia,A_Serious_Man,daily,2015-07-29,all-access,all-agents,721
en.wikipedia,A_Serious_Man,daily,2015-07-30,all-access,all-agents,712
en.wikipedia,A_Serious_Man,daily,2015-07-31,all-access,all-agents,759
en.wikipedia,A_Serious_Man,daily,2015-08-01,all-access,all-agents,776
en.wikipedia,A_Serious_Man,daily,2015-08-02,all-access,all-agents,843
en.wikipedia,A_Serious_Man,daily,2015-08-03,all-access,all-agents,680
en.wikipedia,A_Serious_Man,daily,2015-08-04,all-access,all-agents,829
en.wikipedia,A_Serious_Man,daily,2015-08-05,all-access,all-agents,783
en.wikipedia,A_Serious_Man,daily,2015-08-06,all-access,all-agents,787
en.wikipedia,A_Serious_Man,daily,2015-08-07,all-access,all-agents,695
en.wikipedia,A_Serious_Man,daily,2015-08-08,all-access,all-agents,750
en.wikipedia,A_Serious_Man,daily,2015-08-09,all-access,all-agents,887
en.wikipedia,A_Serious_Man,daily,2015-08-10,all-access,all-agents,721
en.wikipedia,A_Serious_Man,daily,2015-08-11,all-access,all-agents,810
en.wikipedia,A_Serious_Man,daily,2015-08-12,all-access,all-agents,840
en.wikipedia,A_Serious_Man,daily,2015-08-13,all-access,all-agents,762
