project,article,granularity,timestamp,access,agent,views
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-01,all-access,all-agents,1849
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-02,all-access,all-agents,2063
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-03,all-access,all-agents,2530
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-04,all-access,all-agents,9562
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-05,all-access,all-agents,2804
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-06,all-access,all-agents,4811
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-07,all-access,all-agents,2683
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-08,all-access,all-agents,4435
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-09,all-access,all-agents,3556
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-10,all-access,all-agents,7032
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-11,all-access,all-agents,3323
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-12,all-access,all-agents,2664
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-13,all-access,all-agents,3649
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-14,all-access,all-agents,5638
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-15,all-access,all-agents,3866
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-16,all-access,all-agents,2349
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-17,all-access,all-agents,2045
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-18,all-access,all-agents,4506
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-19,all-access,all-agents,3067
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-20,all-access,all-agents,2561
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-21,all-access,all-agents,4637
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-22,all-access,all-agents,9133
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-23,all-access,all-agents,2377
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-24,all-access,all-agents,1971
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-25,all-access,all-agents,2173
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-26,all-access,all-agents,2775
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-27,all-access,all-agents,4040
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-28,all-access,all-agents,4809
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-29,all-access,all-agents,2203
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-30,all-access,all-agents,4418
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-07-31,all-access,all-agents,10055
en.wikipedia,A.I._Artificial_Intelligence,daily,2015-08-01,all-access,all-agents,7280
