project,article,granularity,timestamp,access,agent,views
en.wikipedia,Almost_Famous,daily,2015-07-01,all-access,all-agents,2406
en.wikipedia,Almost_Famous,daily,2015-07-02,all-access,all-agents,2795
en.wikipedia,Almost_Famous,daily,2015-07-03,all-access,all-agents,3155
en.wikipedia,Almost_Famous,daily,2015-07-04,all-access,all-agents,2782
en.wikipedia,Almost_Famous,daily,2015-07-05,all-access,all-agents,3272
en.wikipedia,Almost_Famous,daily,2015-07-06,all-access,all-agents,3058
en.wikipedia,Almost_Famous,daily,2015-07-07,all-access,all-agents,2812
en.wikipedia,Almost_Famous,daily,2015-07-08,all-access,all-agents,2605
en.wikipedia,Almost_Famous,daily,2015-07-09,all-access,all-agents,3077
en.wikipedia,Almost_Famous,daily,2015-07-10,all-access,all-agents,2804
en.wikipedia,Almost_Famous,daily,2015-07-11,all-access,all-agents,3153
en.wikipedia,Almost_Famous,daily,2015-07-12,all-access,all-agents,3571
en.wikipedia,Almost_Famous,daily,2015-07-13,all-access,all-agents,3872
en.wikipedia,Almost_Famous,daily,2015-07-14,all-access,all-agents,4062
en.wikipedia,Almost_Famous,daily,2015-07-15,all-access,all-agents,3293
en.wikipedia,Almost_Famous,daily,2015-07-16,all-access,all-agents,2888
en.wikipedia,Almost_Famous,daily,2015-07-17,all-access,all-agents,3268
en.wikipedia,Almost_Famous,daily,2015-07-18,all-access,all-agents,3676
en.wikipedia,Almost_Famous,daily,2015-07-19,all-access,all-agents,4159
en.wikipedia,Almost_Famous,daily,2015-07-20,all-access,all-agents,3502
en.wikipedia,Almost_Famous,daily,2015-07-21,all-access,all-agents,3182
en.wikipedia,Almost_Famous,daily,2015-07-22,all-access,all-agents,3111
en.wikipedia,Almost_Famous,daily,2015-07-23,all-access,all-agents,2845
en.wikipedia,Almost_Famous,daily,2015-07-24,all-access,all-agents,3175
en.wikipedia,Almost_Famous,daily,2015-07-25,all-access,all-agents,3731
en.wikipedia,Almost_Famous,daily,2015-07-26,all-access,all-agents,4214
en.wikipedia,Almost_Famous,daily,2015-07-27,all-access,all-agents,4178
en.wikipedia,Almost_Famous,daily,2015-07-28,all-access,all-agents,3725
en.wikipedia,Almost_Famous,daily,2015-07-29,all-access,all-agents,3782
en.wikipedia,Almost_Famous,daily,2015-07-30,all-access,all-agents,2950
en.wikipedia,Almost_Famous,daily,2015-07-31,all-access,all-agents,2759
en.wikipedia,Almost_Famous,daily,2015-08-01,all-access,all-agents,2910
en.wikipedia,Almost_Famous,daily,2015-08-02,all-access,all-agents,3133
en.wikipedia,Almost_Famous,daily,2015-08-03,all-access,all-agents,2582
en.wikipedia,Almost_Famous,daily,2015-08-04,all-access,all-agents,2865
en.wikipedia,Almost_Famous,daily,2015-08-05,all-access,all-agents,2550
en.wikipedia,Almost_Famous,daily,2015-08-06,all-access,all-agents,2438
en.wikipedia,Almost_Famous,daily,2015-08-07,all-access,all-agents,2774
